"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"197110120BUF",1971-10-12,"Seattle SuperSonics",123,"Buffalo Braves",90,"",NA,""
"197110120CHI",1971-10-12,"Philadelphia 76ers",114,"Chicago Bulls",100,"",NA,""
"197110120CIN",1971-10-12,"Atlanta Hawks",113,"Cincinnati Royals",127,"",NA,""
"197110120NYK",1971-10-12,"Detroit Pistons",91,"New York Knicks",84,"",NA,""
"197110140HOU",1971-10-14,"Philadelphia 76ers",105,"Houston Rockets",94,"",NA,""
"197110140PHO",1971-10-14,"Milwaukee Bucks",110,"Phoenix Suns",97,"",NA,""
"197110150BOS",1971-10-15,"Golden State Warriors",97,"Boston Celtics",75,"",NA,""
"197110150CHI",1971-10-15,"Baltimore Bullets",82,"Chicago Bulls",106,"",NA,""
"197110150CLE",1971-10-15,"Buffalo Braves",111,"Cleveland Cavaliers",109,"OT",NA,""
"197110150DET",1971-10-15,"Los Angeles Lakers",132,"Detroit Pistons",103,"",NA,""
"197110150POR",1971-10-15,"Seattle SuperSonics",119,"Portland Trail Blazers",88,"",NA,""
"197110160ATL",1971-10-16,"Philadelphia 76ers",104,"Atlanta Hawks",102,"",NA,""
"197110160BAL",1971-10-16,"Golden State Warriors",93,"Baltimore Bullets",108,"",NA,""
"197110160BUF",1971-10-16,"Cleveland Cavaliers",93,"Buffalo Braves",89,"",NA,""
"197110160NYK",1971-10-16,"Los Angeles Lakers",119,"New York Knicks",104,"",NA,""
"197110160PHO",1971-10-16,"Houston Rockets",108,"Phoenix Suns",128,"",NA,""
"197110160SEA",1971-10-16,"Milwaukee Bucks",98,"Seattle SuperSonics",91,"",NA,""
"197110170CLE",1971-10-17,"New York Knicks",121,"Cleveland Cavaliers",120,"OT",NA,""
"197110170DET",1971-10-17,"Houston Rockets",99,"Detroit Pistons",112,"",NA,"at San Antonio, TX"
"197110170POR",1971-10-17,"Milwaukee Bucks",127,"Portland Trail Blazers",94,"",NA,""
"197110190BOS",1971-10-19,"Baltimore Bullets",114,"Boston Celtics",134,"",NA,""
"197110190BUF",1971-10-19,"Los Angeles Lakers",123,"Buffalo Braves",106,"",NA,""
"197110190CIN",1971-10-19,"Seattle SuperSonics",101,"Cincinnati Royals",100,"",NA,""
"197110190MIL",1971-10-19,"Cleveland Cavaliers",82,"Milwaukee Bucks",116,"",NA,""
"197110190NYK",1971-10-19,"Golden State Warriors",84,"New York Knicks",93,"",NA,""
"197110190POR",1971-10-19,"Detroit Pistons",101,"Portland Trail Blazers",99,"",NA,""
"197110200ATL",1971-10-20,"Los Angeles Lakers",126,"Atlanta Hawks",104,"",NA,""
"197110200CHI",1971-10-20,"Houston Rockets",110,"Chicago Bulls",125,"",NA,"at Waco, TX"
"197110200CLE",1971-10-20,"Golden State Warriors",115,"Cleveland Cavaliers",98,"",NA,""
"197110200PHI",1971-10-20,"Seattle SuperSonics",93,"Philadelphia 76ers",100,"",NA,""
"197110220ATL",1971-10-22,"Boston Celtics",115,"Atlanta Hawks",108,"",NA,""
"197110220BAL",1971-10-22,"New York Knicks",110,"Baltimore Bullets",87,"",NA,""
"197110220LAL",1971-10-22,"Chicago Bulls",113,"Los Angeles Lakers",106,"",NA,""
"197110220MIL",1971-10-22,"Buffalo Braves",105,"Milwaukee Bucks",124,"",NA,""
"197110220PHO",1971-10-22,"Detroit Pistons",116,"Phoenix Suns",109,"",NA,""
"197110220SEA",1971-10-22,"Houston Rockets",91,"Seattle SuperSonics",110,"",NA,""
"197110230BAL",1971-10-23,"Cleveland Cavaliers",109,"Baltimore Bullets",101,"",NA,"at College Park, MD"
"197110230BUF",1971-10-23,"Boston Celtics",103,"Buffalo Braves",98,"",NA,""
"197110230GSW",1971-10-23,"Detroit Pistons",109,"Golden State Warriors",115,"OT",NA,"at Oakland, CA"
"197110230NYK",1971-10-23,"Atlanta Hawks",95,"New York Knicks",89,"",NA,""
"197110230PHI",1971-10-23,"Milwaukee Bucks",110,"Philadelphia 76ers",88,"",NA,""
"197110230POR",1971-10-23,"Cincinnati Royals",100,"Portland Trail Blazers",104,"",NA,""
"197110240CLE",1971-10-24,"Philadelphia 76ers",111,"Cleveland Cavaliers",93,"",NA,""
"197110240HOU",1971-10-24,"Los Angeles Lakers",113,"Houston Rockets",103,"",NA,""
"197110240PHO",1971-10-24,"Chicago Bulls",105,"Phoenix Suns",104,"",NA,""
"197110240SEA",1971-10-24,"Cincinnati Royals",101,"Seattle SuperSonics",119,"",NA,""
"197110250BOS",1971-10-25,"Atlanta Hawks",116,"Boston Celtics",136,"",NA,""
"197110260DET",1971-10-26,"Houston Rockets",104,"Detroit Pistons",103,"",NA,""
"197110260GSW",1971-10-26,"Buffalo Braves",91,"Golden State Warriors",89,"",NA,"at Oakland, CA"
"197110260MIL",1971-10-26,"Baltimore Bullets",90,"Milwaukee Bucks",120,"",NA,""
"197110260NYK",1971-10-26,"Boston Celtics",101,"New York Knicks",106,"",NA,""
"197110260PHO",1971-10-26,"Cincinnati Royals",99,"Phoenix Suns",126,"",NA,""
"197110260POR",1971-10-26,"Chicago Bulls",123,"Portland Trail Blazers",111,"",NA,""
"197110270ATL",1971-10-27,"New York Knicks",96,"Atlanta Hawks",110,"",NA,""
"197110270BAL",1971-10-27,"Detroit Pistons",98,"Baltimore Bullets",128,"",NA,""
"197110270BOS",1971-10-27,"Houston Rockets",97,"Boston Celtics",108,"",NA,""
"197110270PHI",1971-10-27,"Cleveland Cavaliers",106,"Philadelphia 76ers",120,"",NA,""
"197110280NYK",1971-10-28,"Houston Rockets",94,"New York Knicks",112,"",NA,""
"197110280SEA",1971-10-28,"Buffalo Braves",96,"Seattle SuperSonics",106,"",NA,""
"197110290BOS",1971-10-29,"Milwaukee Bucks",114,"Boston Celtics",125,"",NA,""
"197110290CHI",1971-10-29,"Golden State Warriors",99,"Chicago Bulls",83,"",NA,"at San Diego, CA"
"197110290CLE",1971-10-29,"Atlanta Hawks",98,"Cleveland Cavaliers",97,"",NA,""
"197110290DET",1971-10-29,"Baltimore Bullets",105,"Detroit Pistons",119,"",NA,""
"197110290LAL",1971-10-29,"Cincinnati Royals",107,"Los Angeles Lakers",119,"",NA,""
"197110290PHI",1971-10-29,"Phoenix Suns",137,"Philadelphia 76ers",135,"2OT",NA,""
"197110290POR",1971-10-29,"Buffalo Braves",120,"Portland Trail Blazers",119,"",NA,""
"197110300ATL",1971-10-30,"Detroit Pistons",104,"Atlanta Hawks",99,"",NA,""
"197110300BAL",1971-10-30,"Phoenix Suns",94,"Baltimore Bullets",101,"",NA,""
"197110300GSW",1971-10-30,"Cincinnati Royals",112,"Golden State Warriors",116,"",NA,"at Oakland, CA"
"197110300NYK",1971-10-30,"Philadelphia 76ers",108,"New York Knicks",101,"",NA,""
"197110300SEA",1971-10-30,"Los Angeles Lakers",106,"Seattle SuperSonics",115,"",NA,""
"197110310CLE",1971-10-31,"Milwaukee Bucks",118,"Cleveland Cavaliers",102,"",NA,""
"197110310HOU",1971-10-31,"Buffalo Braves",87,"Houston Rockets",102,"",NA,""
"197110310LAL",1971-10-31,"Golden State Warriors",109,"Los Angeles Lakers",105,"",NA,""
"197111020CHI",1971-11-02,"Phoenix Suns",101,"Chicago Bulls",108,"",NA,""
"197111020GSW",1971-11-02,"Baltimore Bullets",91,"Golden State Warriors",106,"",NA,"at Oakland, CA"
"197111030ATL",1971-11-03,"Chicago Bulls",113,"Atlanta Hawks",100,"",NA,""
"197111030BUF",1971-11-03,"Phoenix Suns",100,"Buffalo Braves",98,"",NA,""
"197111030CIN",1971-11-03,"Philadelphia 76ers",100,"Cincinnati Royals",124,"",NA,""
"197111030HOU",1971-11-03,"New York Knicks",117,"Houston Rockets",98,"",NA,""
"197111040GSW",1971-11-04,"Seattle SuperSonics",96,"Golden State Warriors",98,"",NA,"at Oakland, CA"
"197111040HOU",1971-11-04,"Portland Trail Blazers",112,"Houston Rockets",110,"",NA,""
"197111050ATL",1971-11-05,"Buffalo Braves",122,"Atlanta Hawks",117,"OT",NA,""
"197111050BOS",1971-11-05,"Detroit Pistons",102,"Boston Celtics",103,"",NA,""
"197111050CHI",1971-11-05,"Milwaukee Bucks",104,"Chicago Bulls",102,"",NA,""
"197111050CLE",1971-11-05,"Phoenix Suns",107,"Cleveland Cavaliers",87,"",NA,""
"197111050LAL",1971-11-05,"Baltimore Bullets",106,"Los Angeles Lakers",110,"",NA,""
"197111050SEA",1971-11-05,"New York Knicks",97,"Seattle SuperSonics",101,"",NA,""
"197111060BOS",1971-11-06,"Portland Trail Blazers",109,"Boston Celtics",124,"",NA,""
"197111060BUF",1971-11-06,"Chicago Bulls",99,"Buffalo Braves",130,"",NA,""
"197111060CIN",1971-11-06,"Phoenix Suns",95,"Cincinnati Royals",110,"",NA,""
"197111060GSW",1971-11-06,"Los Angeles Lakers",105,"Golden State Warriors",89,"",NA,"at Oakland, CA"
"197111060MIL",1971-11-06,"Detroit Pistons",78,"Milwaukee Bucks",106,"",NA,""
"197111060PHI",1971-11-06,"Atlanta Hawks",96,"Philadelphia 76ers",101,"",NA,""
"197111070CLE",1971-11-07,"Portland Trail Blazers",99,"Cleveland Cavaliers",120,"",NA,""
"197111070HOU",1971-11-07,"Baltimore Bullets",109,"Houston Rockets",106,"",NA,""
"197111070LAL",1971-11-07,"New York Knicks",96,"Los Angeles Lakers",103,"",NA,""
"197111070SEA",1971-11-07,"Golden State Warriors",109,"Seattle SuperSonics",102,"",NA,""
"197111080BOS",1971-11-08,"Cincinnati Royals",109,"Boston Celtics",120,"",NA,"at Omaha, NE"
"197111090BUF",1971-11-09,"Portland Trail Blazers",100,"Buffalo Braves",109,"",NA,""
"197111090CHI",1971-11-09,"Los Angeles Lakers",122,"Chicago Bulls",109,"",NA,""
"197111090GSW",1971-11-09,"Houston Rockets",99,"Golden State Warriors",115,"",NA,"at Oakland, CA"
"197111090MIL",1971-11-09,"Phoenix Suns",113,"Milwaukee Bucks",118,"",NA,""
"197111100ATL",1971-11-10,"Milwaukee Bucks",116,"Atlanta Hawks",110,"",NA,""
"197111100BAL",1971-11-10,"Chicago Bulls",125,"Baltimore Bullets",106,"",NA,""
"197111100CIN",1971-11-10,"New York Knicks",85,"Cincinnati Royals",99,"",NA,""
"197111100DET",1971-11-10,"Portland Trail Blazers",122,"Detroit Pistons",139,"",NA,""
"197111100HOU",1971-11-10,"Boston Celtics",142,"Houston Rockets",103,"",NA,""
