"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"198410260CHI",1984-10-26,"Washington Bullets",93,"Chicago Bulls",109,"",13913,""
"198410260DET",1984-10-26,"Boston Celtics",130,"Detroit Pistons",123,"",27563,""
"198410260GSW",1984-10-26,"Phoenix Suns",122,"Golden State Warriors",114,"",6547,""
"198410260NJN",1984-10-26,"Atlanta Hawks",119,"New Jersey Nets",104,"",10061,""
"198410260PHI",1984-10-26,"Cleveland Cavaliers",101,"Philadelphia 76ers",111,"",11892,""
"198410260SEA",1984-10-26,"Utah Jazz",94,"Seattle SuperSonics",102,"",7117,""
"198410270ATL",1984-10-27,"Philadelphia 76ers",111,"Atlanta Hawks",108,"",13694,""
"198410270CLE",1984-10-27,"New Jersey Nets",131,"Cleveland Cavaliers",106,"",10280,""
"198410270DAL",1984-10-27,"Houston Rockets",121,"Dallas Mavericks",111,"",17007,""
"198410270DEN",1984-10-27,"Golden State Warriors",121,"Denver Nuggets",125,"",8256,""
"198410270IND",1984-10-27,"Washington Bullets",104,"Indiana Pacers",102,"",16083,""
"198410270KCK",1984-10-27,"Portland Trail Blazers",140,"Kansas City Kings",119,"",11321,""
"198410270MIL",1984-10-27,"Chicago Bulls",106,"Milwaukee Bucks",108,"",11052,""
"198410270NYK",1984-10-27,"Detroit Pistons",118,"New York Knicks",137,"",16384,""
"198410270SAS",1984-10-27,"Los Angeles Lakers",112,"San Antonio Spurs",113,"",13508,""
"198410270UTA",1984-10-27,"Los Angeles Clippers",103,"Utah Jazz",94,"",8285,""
"198410280DAL",1984-10-28,"Los Angeles Lakers",96,"Dallas Mavericks",107,"",17007,""
"198410280SEA",1984-10-28,"Phoenix Suns",102,"Seattle SuperSonics",87,"",5361,""
"198410290CHI",1984-10-29,"Milwaukee Bucks",110,"Chicago Bulls",116,"",9358,""
"198410300DET",1984-10-30,"Cleveland Cavaliers",107,"Detroit Pistons",124,"",8272,""
"198410300HOU",1984-10-30,"Dallas Mavericks",84,"Houston Rockets",106,"",16016,""
"198410300KCK",1984-10-30,"Chicago Bulls",109,"Kansas City Kings",104,"",9391,""
"198410300LAL",1984-10-30,"Golden State Warriors",110,"Los Angeles Lakers",144,"",11545,""
"198410300NJN",1984-10-30,"Philadelphia 76ers",118,"New Jersey Nets",96,"",12781,""
"198410300PHO",1984-10-30,"Los Angeles Clippers",96,"Phoenix Suns",99,"",13665,""
"198410300POR",1984-10-30,"Seattle SuperSonics",83,"Portland Trail Blazers",115,"",12666,""
"198410300SAS",1984-10-30,"Denver Nuggets",118,"San Antonio Spurs",126,"",6677,""
"198410300UTA",1984-10-30,"New York Knicks",111,"Utah Jazz",117,"",8175,""
"198410300WSB",1984-10-30,"Atlanta Hawks",104,"Washington Bullets",119,"",7249,""
"198410310BOS",1984-10-31,"New Jersey Nets",105,"Boston Celtics",116,"",14890,""
"198410310IND",1984-10-31,"Dallas Mavericks",101,"Indiana Pacers",100,"",10633,""
"198410310MIL",1984-10-31,"Washington Bullets",79,"Milwaukee Bucks",105,"",7705,""
"198411010ATL",1984-11-01,"Detroit Pistons",118,"Atlanta Hawks",114,"",6871,""
"198411010DEN",1984-11-01,"Chicago Bulls",113,"Denver Nuggets",129,"",9413,""
"198411010GSW",1984-11-01,"San Antonio Spurs",123,"Golden State Warriors",108,"",3980,""
"198411010KCK",1984-11-01,"Houston Rockets",109,"Kansas City Kings",106,"",11640,""
"198411010LAC",1984-11-01,"New York Knicks",105,"Los Angeles Clippers",107,"",12018,""
"198411010PHO",1984-11-01,"Portland Trail Blazers",130,"Phoenix Suns",139,"3OT",14660,""
"198411010SEA",1984-11-01,"Los Angeles Lakers",103,"Seattle SuperSonics",105,"",7070,""
"198411020BOS",1984-11-02,"Detroit Pistons",116,"Boston Celtics",127,"",14890,""
"198411020CLE",1984-11-02,"Indiana Pacers",116,"Cleveland Cavaliers",109,"",5129,""
"198411020LAL",1984-11-02,"San Antonio Spurs",100,"Los Angeles Lakers",119,"",13550,""
"198411020PHI",1984-11-02,"Dallas Mavericks",103,"Philadelphia 76ers",107,"",17835,""
"198411020UTA",1984-11-02,"Seattle SuperSonics",101,"Utah Jazz",107,"",3955,"at Las Vegas, NV"
"198411020WSB",1984-11-02,"Milwaukee Bucks",102,"Washington Bullets",96,"",7102,""
"198411030ATL",1984-11-03,"Washington Bullets",107,"Atlanta Hawks",127,"",6646,""
"198411030DAL",1984-11-03,"Phoenix Suns",105,"Dallas Mavericks",93,"",16657,""
"198411030GSW",1984-11-03,"Utah Jazz",107,"Golden State Warriors",112,"",5280,""
"198411030HOU",1984-11-03,"New York Knicks",93,"Houston Rockets",105,"",16016,""
"198411030KCK",1984-11-03,"Denver Nuggets",128,"Kansas City Kings",114,"",6440,""
"198411030LAC",1984-11-03,"Portland Trail Blazers",131,"Los Angeles Clippers",112,"",8901,""
"198411030MIL",1984-11-03,"Cleveland Cavaliers",88,"Milwaukee Bucks",117,"",10012,""
"198411030NJN",1984-11-03,"Indiana Pacers",117,"New Jersey Nets",118,"",10399,""
"198411040LAL",1984-11-04,"Portland Trail Blazers",116,"Los Angeles Lakers",124,"",14148,""
"198411040SAS",1984-11-04,"New York Knicks",130,"San Antonio Spurs",131,"2OT",8033,""
"198411050CLE",1984-11-05,"Detroit Pistons",107,"Cleveland Cavaliers",98,"",4219,""
"198411050LAC",1984-11-05,"Denver Nuggets",104,"Los Angeles Clippers",107,"",6474,""
"198411060DAL",1984-11-06,"New York Knicks",104,"Dallas Mavericks",107,"",15385,""
"198411060HOU",1984-11-06,"Kansas City Kings",94,"Houston Rockets",108,"",13570,""
"198411060LAL",1984-11-06,"Denver Nuggets",146,"Los Angeles Lakers",130,"",11272,""
"198411060POR",1984-11-06,"Phoenix Suns",99,"Portland Trail Blazers",116,"",12666,""
