"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"198911030ATL",1989-11-03,"Indiana Pacers",126,"Atlanta Hawks",103,"",15908,""
"198911030BOS",1989-11-03,"Milwaukee Bucks",114,"Boston Celtics",127,"",14890,""
"198911030CHH",1989-11-03,"Washington Bullets",116,"Charlotte Hornets",96,"",23901,""
"198911030CHI",1989-11-03,"Cleveland Cavaliers",119,"Chicago Bulls",124,"OT",18676,""
"198911030DAL",1989-11-03,"Los Angeles Lakers",102,"Dallas Mavericks",94,"",17007,""
"198911030DET",1989-11-03,"New York Knicks",103,"Detroit Pistons",106,"",21454,""
"198911030LAC",1989-11-03,"Houston Rockets",88,"Los Angeles Clippers",102,"",10858,""
"198911030MIA",1989-11-03,"New Jersey Nets",110,"Miami Heat",90,"",15008,""
"198911030PHO",1989-11-03,"Golden State Warriors",106,"Phoenix Suns",136,"",14144,""
"198911030POR",1989-11-03,"Sacramento Kings",96,"Portland Trail Blazers",114,"",12884,""
"198911030SEA",1989-11-03,"Minnesota Timberwolves",94,"Seattle SuperSonics",106,"",13805,""
"198911030UTA",1989-11-03,"Denver Nuggets",113,"Utah Jazz",122,"",12616,""
"198911040CHI",1989-11-04,"Boston Celtics",102,"Chicago Bulls",100,"",18676,""
"198911040DEN",1989-11-04,"Phoenix Suns",132,"Denver Nuggets",135,"",12439,""
"198911040GSW",1989-11-04,"Houston Rockets",132,"Golden State Warriors",105,"",15025,""
"198911040IND",1989-11-04,"Cleveland Cavaliers",98,"Indiana Pacers",106,"",15004,""
"198911040NYK",1989-11-04,"Miami Heat",99,"New York Knicks",119,"",18212,""
"198911040ORL",1989-11-04,"New Jersey Nets",111,"Orlando Magic",106,"",15077,""
"198911040PHI",1989-11-04,"Milwaukee Bucks",102,"Philadelphia 76ers",96,"",13893,""
"198911040SAC",1989-11-04,"Seattle SuperSonics",100,"Sacramento Kings",107,"",17104,""
"198911040SAS",1989-11-04,"Los Angeles Lakers",98,"San Antonio Spurs",106,"",15868,""
"198911040WSB",1989-11-04,"Detroit Pistons",95,"Washington Bullets",93,"",17055,""
"198911050POR",1989-11-05,"Minnesota Timberwolves",83,"Portland Trail Blazers",93,"",12884,""
"198911060ORL",1989-11-06,"New York Knicks",110,"Orlando Magic",118,"",15077,""
"198911070ATL",1989-11-07,"Washington Bullets",118,"Atlanta Hawks",114,"",11756,""
"198911070CHI",1989-11-07,"Detroit Pistons",114,"Chicago Bulls",117,"",18676,""
"198911070GSW",1989-11-07,"Los Angeles Clippers",94,"Golden State Warriors",118,"",15025,""
"198911070HOU",1989-11-07,"Portland Trail Blazers",86,"Houston Rockets",109,"",16101,""
"198911070LAL",1989-11-07,"Phoenix Suns",107,"Los Angeles Lakers",111,"",17505,""
"198911070MIL",1989-11-07,"Boston Celtics",100,"Milwaukee Bucks",106,"",15079,""
"198911070NJN",1989-11-07,"Miami Heat",83,"New Jersey Nets",77,"",11999,""
"198911070SAC",1989-11-07,"Dallas Mavericks",94,"Sacramento Kings",96,"",17017,""
"198911070SEA",1989-11-07,"Charlotte Hornets",88,"Seattle SuperSonics",128,"",9521,""
"198911080CLE",1989-11-08,"Orlando Magic",117,"Cleveland Cavaliers",110,"OT",14110,""
"198911080DEN",1989-11-08,"Sacramento Kings",84,"Denver Nuggets",102,"",6933,""
"198911080IND",1989-11-08,"Detroit Pistons",74,"Indiana Pacers",95,"",13640,""
"198911080LAC",1989-11-08,"Dallas Mavericks",123,"Los Angeles Clippers",99,"",7021,""
"198911080MIN",1989-11-08,"Chicago Bulls",96,"Minnesota Timberwolves",84,"",35427,""
"198911080PHI",1989-11-08,"Miami Heat",91,"Philadelphia 76ers",115,"",10118,""
"198911080SAS",1989-11-08,"Portland Trail Blazers",108,"San Antonio Spurs",104,"",14278,""
"198911080UTA",1989-11-08,"Charlotte Hornets",86,"Utah Jazz",102,"",12616,""
"198911080WSB",1989-11-08,"Boston Celtics",103,"Washington Bullets",112,"",16921,""
"198911090GSW",1989-11-09,"Los Angeles Lakers",106,"Golden State Warriors",95,"",15025,""
"198911090HOU",1989-11-09,"Denver Nuggets",128,"Houston Rockets",127,"OT",16266,""
"198911090MIL",1989-11-09,"Seattle SuperSonics",154,"Milwaukee Bucks",155,"5OT",14012,""
"198911090NYK",1989-11-09,"New Jersey Nets",105,"New York Knicks",107,"",13482,""
"198911100BOS",1989-11-10,"Atlanta Hawks",106,"Boston Celtics",117,"",14890,""
"198911100DAL",1989-11-10,"Portland Trail Blazers",99,"Dallas Mavericks",91,"",17007,""
"198911100IND",1989-11-10,"Miami Heat",98,"Indiana Pacers",102,"",12453,""
"198911100LAL",1989-11-10,"Charlotte Hornets",100,"Los Angeles Lakers",106,"",17505,""
"198911100MIN",1989-11-10,"Philadelphia 76ers",118,"Minnesota Timberwolves",125,"OT",29117,""
"198911100NJN",1989-11-10,"Chicago Bulls",107,"New Jersey Nets",117,"",20049,""
"198911100ORL",1989-11-10,"Detroit Pistons",125,"Orlando Magic",121,"",15077,""
"198911100PHO",1989-11-10,"Sacramento Kings",109,"Phoenix Suns",130,"",13590,""
"198911100UTA",1989-11-10,"San Antonio Spurs",92,"Utah Jazz",106,"",12616,""
"198911100WSB",1989-11-10,"Cleveland Cavaliers",92,"Washington Bullets",100,"",11718,"at Baltimore, MD"
"198911110ATL",1989-11-11,"Orlando Magic",109,"Atlanta Hawks",148,"",12505,""
"198911110CHI",1989-11-11,"Seattle SuperSonics",102,"Chicago Bulls",109,"",16676,""
"198911110CLE",1989-11-11,"Boston Celtics",101,"Cleveland Cavaliers",104,"",19066,""
"198911110GSW",1989-11-11,"Charlotte Hornets",104,"Golden State Warriors",115,"",15025,""
