"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"197310090ATL",1973-10-09,"Capital Bullets",114,"Atlanta Hawks",128,"",NA,""
"197310090BUF",1973-10-09,"Houston Rockets",105,"Buffalo Braves",107,"OT",NA,""
"197310090CHI",1973-10-09,"Los Angeles Lakers",117,"Chicago Bulls",97,"",NA,""
"197310090NYK",1973-10-09,"Detroit Pistons",100,"New York Knicks",101,"",NA,""
"197310100KCO",1973-10-10,"Chicago Bulls",105,"Kansas City-Omaha Kings",90,"",NA,""
"197310100PHI",1973-10-10,"Houston Rockets",104,"Philadelphia 76ers",88,"",NA,""
"197310100PHO",1973-10-10,"Seattle SuperSonics",111,"Phoenix Suns",115,"",NA,""
"197310110ATL",1973-10-11,"Los Angeles Lakers",102,"Atlanta Hawks",129,"",NA,""
"197310120BOS",1973-10-12,"Buffalo Braves",112,"Boston Celtics",118,"",NA,""
"197310120CLE",1973-10-12,"Houston Rockets",106,"Cleveland Cavaliers",99,"",NA,""
"197310120DET",1973-10-12,"Atlanta Hawks",105,"Detroit Pistons",122,"",NA,""
"197310120KCO",1973-10-12,"Chicago Bulls",84,"Kansas City-Omaha Kings",88,"",NA,"at Omaha, NE"
"197310120PHO",1973-10-12,"Milwaukee Bucks",107,"Phoenix Suns",84,"",NA,""
"197310120SEA",1973-10-12,"Capital Bullets",102,"Seattle SuperSonics",103,"",NA,""
"197310130ATL",1973-10-13,"Kansas City-Omaha Kings",117,"Atlanta Hawks",102,"",NA,""
"197310130BUF",1973-10-13,"Los Angeles Lakers",125,"Buffalo Braves",122,"",NA,""
"197310130CHI",1973-10-13,"Detroit Pistons",94,"Chicago Bulls",101,"",NA,""
"197310130GSW",1973-10-13,"Milwaukee Bucks",97,"Golden State Warriors",85,"",NA,""
"197310130NYK",1973-10-13,"Houston Rockets",86,"New York Knicks",85,"",NA,""
"197310130PHI",1973-10-13,"Boston Celtics",111,"Philadelphia 76ers",106,"",NA,""
"197310130POR",1973-10-13,"Capital Bullets",87,"Portland Trail Blazers",132,"",NA,""
"197310140CLE",1973-10-14,"Detroit Pistons",95,"Cleveland Cavaliers",83,"",NA,""
"197310140PHO",1973-10-14,"Golden State Warriors",120,"Phoenix Suns",95,"",NA,""
"197310140SEA",1973-10-14,"Milwaukee Bucks",100,"Seattle SuperSonics",109,"",NA,""
"197310160HOU",1973-10-16,"Philadelphia 76ers",106,"Houston Rockets",101,"",NA,""
"197310160NYK",1973-10-16,"Buffalo Braves",91,"New York Knicks",117,"",NA,""
"197310170MIL",1973-10-17,"Golden State Warriors",95,"Milwaukee Bucks",109,"",NA,""
"197310170SEA",1973-10-17,"Kansas City-Omaha Kings",108,"Seattle SuperSonics",106,"",NA,""
"197310190BOS",1973-10-19,"Philadelphia 76ers",102,"Boston Celtics",133,"",NA,""
"197310190CHI",1973-10-19,"Capital Bullets",103,"Chicago Bulls",117,"",NA,""
"197310190CLE",1973-10-19,"New York Knicks",92,"Cleveland Cavaliers",90,"",NA,""
"197310190DET",1973-10-19,"Milwaukee Bucks",96,"Detroit Pistons",94,"",NA,""
"197310190LAL",1973-10-19,"Seattle SuperSonics",91,"Los Angeles Lakers",118,"",NA,""
