"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196710130SFW",1967-10-13,"Seattle SuperSonics",116,"San Francisco Warriors",144,"",NA,""
"196710140BOS",1967-10-14,"Chicago Bulls",90,"Boston Celtics",105,"",NA,""
"196710140SDR",1967-10-14,"St. Louis Hawks",99,"San Diego Rockets",98,"",NA,""
"196710150SFW",1967-10-15,"St. Louis Hawks",107,"San Francisco Warriors",102,"",NA,""
"196710170CHI",1967-10-17,"Los Angeles Lakers",107,"Chicago Bulls",105,"",NA,""
"196710170DET",1967-10-17,"Cincinnati Royals",108,"Detroit Pistons",131,"",NA,""
"196710170NYK",1967-10-17,"San Francisco Warriors",122,"New York Knicks",124,"",NA,""
"196710170SDR",1967-10-17,"St. Louis Hawks",123,"San Diego Rockets",105,"",NA,""
"196710180BAL",1967-10-18,"New York Knicks",98,"Baltimore Bullets",121,"",NA,""
"196710180CIN",1967-10-18,"San Francisco Warriors",118,"Cincinnati Royals",122,"",NA,""
"196710180PHI",1967-10-18,"Los Angeles Lakers",87,"Philadelphia 76ers",103,"",NA,""
"196710190CHI",1967-10-19,"San Francisco Warriors",116,"Chicago Bulls",106,"",NA,""
"196710190STL",1967-10-19,"Los Angeles Lakers",95,"St. Louis Hawks",100,"",NA,""
"196710200CHI",1967-10-20,"St. Louis Hawks",126,"Chicago Bulls",99,"",NA,""
"196710200SEA",1967-10-20,"San Diego Rockets",121,"Seattle SuperSonics",114,"",NA,""
"196710210BAL",1967-10-21,"Boston Celtics",125,"Baltimore Bullets",109,"",NA,""
"196710210CIN",1967-10-21,"Chicago Bulls",107,"Cincinnati Royals",109,"",NA,""
"196710210NYK",1967-10-21,"Los Angeles Lakers",114,"New York Knicks",106,"",NA,""
"196710210PHI",1967-10-21,"Detroit Pistons",111,"Philadelphia 76ers",116,"",NA,""
"196710210SDR",1967-10-21,"Seattle SuperSonics",117,"San Diego Rockets",110,"OT",NA,""
"196710210STL",1967-10-21,"San Francisco Warriors",110,"St. Louis Hawks",115,"",NA,""
"196710220SEA",1967-10-22,"Cincinnati Royals",106,"Seattle SuperSonics",94,"",NA,""
"196710220SFW",1967-10-22,"San Diego Rockets",126,"San Francisco Warriors",137,"",NA,""
"196710240BAL",1967-10-24,"Seattle SuperSonics",125,"Baltimore Bullets",136,"",NA,"at Portland, OR"
"196710240DET",1967-10-24,"Philadelphia 76ers",124,"Detroit Pistons",102,"",NA,"at New York, NY"
"196710240NYK",1967-10-24,"St. Louis Hawks",135,"New York Knicks",130,"OT",NA,""
"196710240SFW",1967-10-24,"Cincinnati Royals",106,"San Francisco Warriors",116,"",NA,"at Oakland, CA"
"196710250BOS",1967-10-25,"St. Louis Hawks",104,"Boston Celtics",118,"",NA,""
"196710250DET",1967-10-25,"Chicago Bulls",99,"Detroit Pistons",107,"",NA,""
"196710250LAL",1967-10-25,"Cincinnati Royals",116,"Los Angeles Lakers",132,"",NA,""
"196710250PHI",1967-10-25,"New York Knicks",114,"Philadelphia 76ers",117,"",NA,""
"196710250SDR",1967-10-25,"Baltimore Bullets",125,"San Diego Rockets",109,"",NA,""
"196710270DET",1967-10-27,"Boston Celtics",128,"Detroit Pistons",109,"",NA,""
"196710270LAL",1967-10-27,"Chicago Bulls",117,"Los Angeles Lakers",125,"",NA,""
"196710270PHI",1967-10-27,"Seattle SuperSonics",115,"Philadelphia 76ers",132,"",NA,""
"196710270SDR",1967-10-27,"Cincinnati Royals",116,"San Diego Rockets",113,"",NA,""
"196710270SFW",1967-10-27,"Baltimore Bullets",111,"San Francisco Warriors",124,"",NA,"at Oakland, CA"
"196710280BOS",1967-10-28,"Philadelphia 76ers",95,"Boston Celtics",104,"",NA,""
"196710280NYK",1967-10-28,"Detroit Pistons",111,"New York Knicks",98,"",NA,""
"196710280STL",1967-10-28,"Seattle SuperSonics",109,"St. Louis Hawks",116,"",NA,""
"196710290LAL",1967-10-29,"Baltimore Bullets",105,"Los Angeles Lakers",118,"",NA,""
"196710290SDR",1967-10-29,"Cincinnati Royals",108,"San Diego Rockets",99,"",NA,""
"196710290SFW",1967-10-29,"Chicago Bulls",105,"San Francisco Warriors",125,"",NA,"at Oakland, CA"
"196710310SEA",1967-10-31,"Chicago Bulls",104,"Seattle SuperSonics",114,"",NA,""
"196710310SFW",1967-10-31,"New York Knicks",103,"San Francisco Warriors",108,"",NA,"at Oakland, CA"
