"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"198110300BOS",1981-10-30,"Washington Bullets",100,"Boston Celtics",124,"",15320,""
"198110300DEN",1981-10-30,"Golden State Warriors",121,"Denver Nuggets",134,"",11989,""
"198110300DET",1981-10-30,"Milwaukee Bucks",113,"Detroit Pistons",118,"",9182,""
"198110300IND",1981-10-30,"Chicago Bulls",94,"Indiana Pacers",96,"",8492,""
"198110300KCK",1981-10-30,"San Antonio Spurs",113,"Kansas City Kings",102,"",11010,""
"198110300LAL",1981-10-30,"Houston Rockets",113,"Los Angeles Lakers",112,"2OT",15884,""
"198110300NJN",1981-10-30,"New York Knicks",103,"New Jersey Nets",99,"",17150,""
"198110300PHI",1981-10-30,"Cleveland Cavaliers",104,"Philadelphia 76ers",128,"",14102,""
"198110300POR",1981-10-30,"Phoenix Suns",95,"Portland Trail Blazers",103,"",12666,""
"198110300UTA",1981-10-30,"Dallas Mavericks",89,"Utah Jazz",105,"",6709,""
"198110310ATL",1981-10-31,"Philadelphia 76ers",108,"Atlanta Hawks",106,"",9820,""
"198110310CHI",1981-10-31,"Detroit Pistons",119,"Chicago Bulls",106,"",18633,""
"198110310DAL",1981-10-31,"Kansas City Kings",89,"Dallas Mavericks",95,"",7865,""
"198110310GSW",1981-10-31,"Utah Jazz",91,"Golden State Warriors",106,"",7193,""
"198110310MIL",1981-10-31,"Boston Celtics",103,"Milwaukee Bucks",119,"",11052,""
"198110310NYK",1981-10-31,"Indiana Pacers",106,"New York Knicks",99,"",15952,""
"198110310SAS",1981-10-31,"Denver Nuggets",120,"San Antonio Spurs",145,"",9487,""
"198110310SDC",1981-10-31,"Houston Rockets",110,"San Diego Clippers",125,"",6539,""
"198110310SEA",1981-10-31,"Phoenix Suns",84,"Seattle SuperSonics",94,"",33014,""
"198111010POR",1981-11-01,"Seattle SuperSonics",94,"Portland Trail Blazers",104,"",12666,""
"198111030CHI",1981-11-03,"Atlanta Hawks",96,"Chicago Bulls",104,"",7112,""
"198111030DAL",1981-11-03,"Cleveland Cavaliers",125,"Dallas Mavericks",110,"",6981,""
"198111030HOU",1981-11-03,"New York Knicks",98,"Houston Rockets",101,"",10855,""
"198111030PHO",1981-11-03,"San Antonio Spurs",88,"Phoenix Suns",111,"",10888,""
"198111030POR",1981-11-03,"Los Angeles Lakers",100,"Portland Trail Blazers",102,"",12666,""
"198111030WSB",1981-11-03,"Philadelphia 76ers",112,"Washington Bullets",99,"",12666,""
"198111040BOS",1981-11-04,"Chicago Bulls",93,"Boston Celtics",115,"",15320,""
"198111040DEN",1981-11-04,"Houston Rockets",100,"Denver Nuggets",112,"",7368,""
"198111040GSW",1981-11-04,"Portland Trail Blazers",109,"Golden State Warriors",108,"",7688,""
