"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"200810280BOS",2008-10-28,"8:00 pm","Cleveland Cavaliers",85,"Boston Celtics",90,"",18624,""
"200810280CHI",2008-10-28,"8:30 pm","Milwaukee Bucks",95,"Chicago Bulls",108,"",21762,""
"200810280LAL",2008-10-28,"10:30 pm","Portland Trail Blazers",76,"Los Angeles Lakers",96,"",18997,""
"200810290DET",2008-10-29,"8:00 pm","Indiana Pacers",94,"Detroit Pistons",100,"",22076,""
"200810290GSW",2008-10-29,"10:30 pm","New Orleans Hornets",108,"Golden State Warriors",103,"",19128,""
"200810290HOU",2008-10-29,"8:30 pm","Memphis Grizzlies",71,"Houston Rockets",82,"",18196,""
"200810290LAC",2008-10-29,"10:30 pm","Los Angeles Lakers",117,"Los Angeles Clippers",79,"",19060,""
"200810290MIN",2008-10-29,"8:00 pm","Sacramento Kings",96,"Minnesota Timberwolves",98,"",17820,""
"200810290NYK",2008-10-29,"7:30 pm","Miami Heat",115,"New York Knicks",120,"",19763,""
"200810290OKC",2008-10-29,"8:00 pm","Milwaukee Bucks",98,"Oklahoma City Thunder",87,"",19136,""
"200810290ORL",2008-10-29,"7:00 pm","Atlanta Hawks",99,"Orlando Magic",85,"",17461,""
"200810290PHI",2008-10-29,"6:00 pm","Toronto Raptors",95,"Philadelphia 76ers",84,"",15750,""
"200810290SAS",2008-10-29,"8:00 pm","Phoenix Suns",103,"San Antonio Spurs",98,"",18797,""
"200810290UTA",2008-10-29,"9:00 pm","Denver Nuggets",94,"Utah Jazz",98,"",19911,""
"200810290WAS",2008-10-29,"7:00 pm","New Jersey Nets",95,"Washington Wizards",85,"",20173,""
"200810300CLE",2008-10-30,"7:00 pm","Charlotte Bobcats",79,"Cleveland Cavaliers",96,"",20562,""
"200810300DAL",2008-10-30,"8:00 pm","Houston Rockets",112,"Dallas Mavericks",102,"",20066,""
"200810300PHO",2008-10-30,"10:30 pm","New Orleans Hornets",108,"Phoenix Suns",95,"",18422,""
"200810310BOS",2008-10-31,"8:00 pm","Chicago Bulls",80,"Boston Celtics",96,"",18624,""
"200810310LAC",2008-10-31,"10:30 pm","Denver Nuggets",113,"Los Angeles Clippers",103,"OT",11418,""
"200810310MEM",2008-10-31,"8:00 pm","Orlando Magic",84,"Memphis Grizzlies",86,"",16139,""
"200810310MIA",2008-10-31,"7:30 pm","Sacramento Kings",77,"Miami Heat",103,"",19600,""
"200810310PHI",2008-10-31,"7:00 pm","New York Knicks",87,"Philadelphia 76ers",116,"",11717,""
"200810310POR",2008-10-31,"10:30 pm","San Antonio Spurs",99,"Portland Trail Blazers",100,"",20516,""
"200810310TOR",2008-10-31,"7:00 pm","Golden State Warriors",108,"Toronto Raptors",112,"OT",19800,""
"200811010ATL",2008-11-01,"7:00 pm","Philadelphia 76ers",88,"Atlanta Hawks",95,"",19651,""
"200811010CHA",2008-11-01,"7:00 pm","Miami Heat",87,"Charlotte Bobcats",100,"",19238,""
"200811010CHI",2008-11-01,"8:30 pm","Memphis Grizzlies",86,"Chicago Bulls",96,"",21785,""
"200811010DEN",2008-11-01,"9:00 pm","Los Angeles Lakers",104,"Denver Nuggets",97,"",19651,""
"200811010DET",2008-11-01,"7:30 pm","Washington Wizards",109,"Detroit Pistons",117,"",22076,""
"200811010HOU",2008-11-01,"8:30 pm","Oklahoma City Thunder",77,"Houston Rockets",89,"",16996,""
"200811010IND",2008-11-01,"7:00 pm","Boston Celtics",79,"Indiana Pacers",95,"",18165,""
"200811010MIL",2008-11-01,"8:30 pm","Toronto Raptors",91,"Milwaukee Bucks",87,"",17036,""
"200811010MIN",2008-11-01,"8:00 pm","Dallas Mavericks",95,"Minnesota Timberwolves",85,"",16893,""
"200811010NJN",2008-11-01,"7:30 pm","Golden State Warriors",105,"New Jersey Nets",97,"",17390,""
"200811010NOH",2008-11-01,"8:00 pm","Cleveland Cavaliers",92,"New Orleans Hornets",104,"",18150,""
"200811010ORL",2008-11-01,"7:00 pm","Sacramento Kings",103,"Orlando Magic",121,"",16704,""
"200811010PHO",2008-11-01,"10:00 pm","Portland Trail Blazers",96,"Phoenix Suns",107,"",18422,""
"200811010UTA",2008-11-01,"9:00 pm","Los Angeles Clippers",79,"Utah Jazz",101,"",19602,""
"200811020NYK",2008-11-02,"6:00 pm","Milwaukee Bucks",94,"New York Knicks",86,"",18190,""
"200811020OKC",2008-11-02,"7:00 pm","Minnesota Timberwolves",85,"Oklahoma City Thunder",88,"",18163,""
"200811030CHA",2008-11-03,"7:00 pm","Detroit Pistons",101,"Charlotte Bobcats",83,"",11023,""
"200811030DAL",2008-11-03,"8:30 pm","Cleveland Cavaliers",100,"Dallas Mavericks",81,"",19923,""
"200811030LAC",2008-11-03,"10:30 pm","Utah Jazz",89,"Los Angeles Clippers",73,"",12712,""
"200811030MEM",2008-11-03,"8:00 pm","Golden State Warriors",79,"Memphis Grizzlies",90,"",10121,""
"200811030ORL",2008-11-03,"7:00 pm","Chicago Bulls",93,"Orlando Magic",96,"",15606,""
"200811030PHI",2008-11-03,"7:00 pm","Sacramento Kings",91,"Philadelphia 76ers",125,"",10100,""
"200811040HOU",2008-11-04,"8:30 pm","Boston Celtics",103,"Houston Rockets",99,"",18291,""
"200811040NJN",2008-11-04,"7:30 pm","Phoenix Suns",114,"New Jersey Nets",86,"",15230,""
"200811040SAS",2008-11-04,"8:30 pm","Dallas Mavericks",98,"San Antonio Spurs",81,"",17398,""
"200811050CLE",2008-11-05,"8:00 pm","Chicago Bulls",93,"Cleveland Cavaliers",107,"",20562,""
"200811050GSW",2008-11-05,"10:30 pm","Denver Nuggets",101,"Golden State Warriors",111,"",18194,""
"200811050IND",2008-11-05,"7:00 pm","Phoenix Suns",113,"Indiana Pacers",103,"",11660,""
"200811050LAL",2008-11-05,"10:30 pm","Los Angeles Clippers",88,"Los Angeles Lakers",106,"",18997,""
"200811050MIA",2008-11-05,"7:30 pm","Philadelphia 76ers",83,"Miami Heat",106,"",15103,""
"200811050MIL",2008-11-05,"8:00 pm","Washington Wizards",104,"Milwaukee Bucks",112,"OT",13895,""
"200811050MIN",2008-11-05,"8:00 pm","San Antonio Spurs",129,"Minnesota Timberwolves",125,"2OT",11112,""
"200811050NOH",2008-11-05,"8:00 pm","Atlanta Hawks",87,"New Orleans Hornets",79,"",16030,""
"200811050NYK",2008-11-05,"7:30 pm","Charlotte Bobcats",98,"New York Knicks",101,"",17977,""
"200811050OKC",2008-11-05,"8:00 pm","Boston Celtics",96,"Oklahoma City Thunder",83,"",19136,""
"200811050SAC",2008-11-05,"10:00 pm","Memphis Grizzlies",95,"Sacramento Kings",100,"",13685,""
"200811050TOR",2008-11-05,"7:00 pm","Detroit Pistons",100,"Toronto Raptors",93,"",18602,""
"200811050UTA",2008-11-05,"9:00 pm","Portland Trail Blazers",96,"Utah Jazz",103,"",19911,""
"200811060ORL",2008-11-06,"8:00 pm","Philadelphia 76ers",88,"Orlando Magic",98,"",16407,""
"200811060POR",2008-11-06,"10:30 pm","Houston Rockets",99,"Portland Trail Blazers",101,"OT",20611,""
"200811070ATL",2008-11-07,"7:30 pm","Toronto Raptors",92,"Atlanta Hawks",110,"",18290,""
"200811070BOS",2008-11-07,"7:30 pm","Milwaukee Bucks",89,"Boston Celtics",101,"",18624,""
"200811070CHA",2008-11-07,"7:00 pm","New Orleans Hornets",89,"Charlotte Bobcats",92,"",13435,""
"200811070CHI",2008-11-07,"8:30 pm","Phoenix Suns",83,"Chicago Bulls",100,"",21967,""
"200811070CLE",2008-11-07,"7:30 pm","Indiana Pacers",107,"Cleveland Cavaliers",111,"",20562,""
"200811070DEN",2008-11-07,"10:30 pm","Dallas Mavericks",105,"Denver Nuggets",108,"",19175,""
"200811070GSW",2008-11-07,"10:30 pm","Memphis Grizzlies",109,"Golden State Warriors",104,"",18744,""
"200811070LAC",2008-11-07,"10:30 pm","Houston Rockets",92,"Los Angeles Clippers",83,"",14670,""
"200811070NJN",2008-11-07,"7:30 pm","Detroit Pistons",96,"New Jersey Nets",103,"",17767,""
"200811070SAC",2008-11-07,"10:00 pm","Minnesota Timberwolves",109,"Sacramento Kings",121,"",10592,""
"200811070SAS",2008-11-07,"8:00 pm","Miami Heat",99,"San Antonio Spurs",83,"",17387,""
"200811070UTA",2008-11-07,"9:00 pm","Oklahoma City Thunder",97,"Utah Jazz",104,"",19911,""
"200811070WAS",2008-11-07,"7:00 pm","New York Knicks",114,"Washington Wizards",108,"",20173,""
"200811080CHI",2008-11-08,"8:30 pm","Cleveland Cavaliers",106,"Chicago Bulls",97,"",21965,""
