"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"201401010DEN",2014-01-01,"9:00 pm","Philadelphia 76ers",114,"Denver Nuggets",102,"",16006,""
"201401010LAC",2014-01-01,"9:30 pm","Charlotte Bobcats",85,"Los Angeles Clippers",112,"",19160,""
"201401010MIN",2014-01-01,"8:00 pm","New Orleans Pelicans",112,"Minnesota Timberwolves",124,"",14002,""
"201401010TOR",2014-01-01,"7:00 pm","Indiana Pacers",82,"Toronto Raptors",95,"",18271,""
"201401010WAS",2014-01-01,"6:00 pm","Dallas Mavericks",87,"Washington Wizards",78,"",15713,""
"201401020CHI",2014-01-02,"8:00 pm","Boston Celtics",82,"Chicago Bulls",94,"",21721,""
"201401020CLE",2014-01-02,"7:00 pm","Orlando Magic",81,"Cleveland Cavaliers",87,"OT",14248,""
"201401020MIA",2014-01-02,"7:30 pm","Golden State Warriors",123,"Miami Heat",114,"",20350,""
"201401020OKC",2014-01-02,"8:00 pm","Brooklyn Nets",95,"Oklahoma City Thunder",93,"",18203,""
"201401020PHO",2014-01-02,"9:00 pm","Memphis Grizzlies",99,"Phoenix Suns",91,"",14844,""
"201401020POR",2014-01-02,"10:00 pm","Charlotte Bobcats",104,"Portland Trail Blazers",134,"",20014,""
"201401020SAC",2014-01-02,"10:00 pm","Philadelphia 76ers",113,"Sacramento Kings",104,"",16259,""
"201401020SAS",2014-01-02,"8:30 pm","New York Knicks",105,"San Antonio Spurs",101,"",18581,""
"201401020UTA",2014-01-02,"9:00 pm","Milwaukee Bucks",87,"Utah Jazz",96,"",16012,""
"201401030ATL",2014-01-03,"7:30 pm","Golden State Warriors",101,"Atlanta Hawks",100,"",15210,""
"201401030BOS",2014-01-03,"7:30 pm","New Orleans Pelicans",95,"Boston Celtics",92,"",18624,""
"201401030DAL",2014-01-03,"8:30 pm","Los Angeles Clippers",119,"Dallas Mavericks",112,"",20187,""
"201401030DEN",2014-01-03,"9:00 pm","Memphis Grizzlies",108,"Denver Nuggets",111,"",17608,""
"201401030HOU",2014-01-03,"8:00 pm","New York Knicks",100,"Houston Rockets",102,"",18304,""
"201401030LAL",2014-01-03,"10:30 pm","Utah Jazz",99,"Los Angeles Lakers",110,"",18997,""
"201401030WAS",2014-01-03,"7:00 pm","Toronto Raptors",101,"Washington Wizards",88,"",14940,""
"201401040BRK",2014-01-04,"7:30 pm","Cleveland Cavaliers",82,"Brooklyn Nets",89,"",17732,""
"201401040CHI",2014-01-04,"8:00 pm","Atlanta Hawks",84,"Chicago Bulls",91,"",21539,""
"201401040IND",2014-01-04,"7:00 pm","New Orleans Pelicans",82,"Indiana Pacers",99,"",18165,""
"201401040MIN",2014-01-04,"8:00 pm","Oklahoma City Thunder",115,"Minnesota Timberwolves",111,"",18065,""
"201401040ORL",2014-01-04,"7:00 pm","Miami Heat",110,"Orlando Magic",94,"",18846,""
"201401040PHO",2014-01-04,"9:00 pm","Milwaukee Bucks",100,"Phoenix Suns",116,"",14344,""
"201401040POR",2014-01-04,"10:00 pm","Philadelphia 76ers",101,"Portland Trail Blazers",99,"",20004,""
"201401040SAC",2014-01-04,"10:00 pm","Charlotte Bobcats",113,"Sacramento Kings",103,"",16410,""
"201401040SAS",2014-01-04,"8:30 pm","Los Angeles Clippers",92,"San Antonio Spurs",116,"",18581,""
"201401050CLE",2014-01-05,"6:00 pm","Indiana Pacers",82,"Cleveland Cavaliers",78,"",17502,""
"201401050DAL",2014-01-05,"7:30 pm","New York Knicks",92,"Dallas Mavericks",80,"",19892,""
"201401050DET",2014-01-05,"1:00 pm","Memphis Grizzlies",112,"Detroit Pistons",84,"",14134,""
"201401050LAL",2014-01-05,"9:30 pm","Denver Nuggets",137,"Los Angeles Lakers",115,"",18997,""
"201401050MIA",2014-01-05,"6:00 pm","Toronto Raptors",97,"Miami Heat",102,"",20020,""
"201401050OKC",2014-01-05,"7:00 pm","Boston Celtics",96,"Oklahoma City Thunder",119,"",18203,""
"201401050WAS",2014-01-05,"6:00 pm","Golden State Warriors",112,"Washington Wizards",96,"",17390,""
"201401060BRK",2014-01-06,"7:30 pm","Atlanta Hawks",86,"Brooklyn Nets",91,"",15326,""
"201401060LAC",2014-01-06,"10:30 pm","Orlando Magic",81,"Los Angeles Clippers",101,"",19060,""
"201401060PHI",2014-01-06,"7:00 pm","Minnesota Timberwolves",126,"Philadelphia 76ers",95,"",10736,""
"201401070CHA",2014-01-07,"7:00 pm","Washington Wizards",97,"Charlotte Bobcats",83,"",12079,""
"201401070CHI",2014-01-07,"8:00 pm","Phoenix Suns",87,"Chicago Bulls",92,"",21181,""
"201401070CLE",2014-01-07,"7:00 pm","Philadelphia 76ers",93,"Cleveland Cavaliers",111,"",13344,""
"201401070DAL",2014-01-07,"8:30 pm","Los Angeles Lakers",97,"Dallas Mavericks",110,"",19656,""
"201401070DEN",2014-01-07,"9:00 pm","Boston Celtics",98,"Denver Nuggets",129,"",16224,""
"201401070IND",2014-01-07,"7:00 pm","Toronto Raptors",79,"Indiana Pacers",86,"",16147,""
"201401070MEM",2014-01-07,"8:00 pm","San Antonio Spurs",110,"Memphis Grizzlies",108,"OT",15916,""
