"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196910140NYK",1969-10-14,"Seattle SuperSonics",101,"New York Knicks",126,"",NA,""
"196910150ATL",1969-10-15,"Seattle SuperSonics",119,"Atlanta Hawks",124,"",NA,""
"196910150BAL",1969-10-15,"Chicago Bulls",93,"Baltimore Bullets",98,"",NA,""
"196910150CIN",1969-10-15,"New York Knicks",94,"Cincinnati Royals",89,"",NA,""
"196910160PHO",1969-10-16,"San Diego Rockets",114,"Phoenix Suns",116,"",NA,""
"196910170BOS",1969-10-17,"Cincinnati Royals",110,"Boston Celtics",108,"",NA,""
"196910170CHI",1969-10-17,"New York Knicks",116,"Chicago Bulls",87,"",NA,""
"196910170PHI",1969-10-17,"Los Angeles Lakers",126,"Philadelphia 76ers",131,"",NA,""
"196910180ATL",1969-10-18,"Phoenix Suns",116,"Atlanta Hawks",121,"",NA,""
"196910180BAL",1969-10-18,"Boston Celtics",117,"Baltimore Bullets",124,"",NA,""
"196910180CHI",1969-10-18,"Seattle SuperSonics",126,"Chicago Bulls",131,"OT",NA,""
"196910180CIN",1969-10-18,"Philadelphia 76ers",134,"Cincinnati Royals",123,"",NA,""
"196910180MIL",1969-10-18,"Detroit Pistons",110,"Milwaukee Bucks",119,"",NA,""
"196910180NYK",1969-10-18,"Los Angeles Lakers",96,"New York Knicks",99,"",NA,""
"196910180SFW",1969-10-18,"San Diego Rockets",125,"San Francisco Warriors",124,"OT",NA,""
"196910190MIL",1969-10-19,"Seattle SuperSonics",106,"Milwaukee Bucks",130,"",NA,""
"196910210BAL",1969-10-21,"Los Angeles Lakers",142,"Baltimore Bullets",137,"OT",NA,""
"196910210DET",1969-10-21,"Boston Celtics",97,"Detroit Pistons",98,"",NA,""
"196910210NYK",1969-10-21,"Phoenix Suns",116,"New York Knicks",140,"",NA,""
"196910220ATL",1969-10-22,"San Francisco Warriors",94,"Atlanta Hawks",93,"",NA,""
"196910220CIN",1969-10-22,"Los Angeles Lakers",116,"Cincinnati Royals",109,"",NA,""
"196910220PHI",1969-10-22,"Phoenix Suns",119,"Philadelphia 76ers",122,"",NA,""
"196910220SDR",1969-10-22,"Milwaukee Bucks",115,"San Diego Rockets",102,"",NA,""
"196910230NYK",1969-10-23,"San Francisco Warriors",112,"New York Knicks",109,"",NA,""
"196910240BAL",1969-10-24,"Cincinnati Royals",126,"Baltimore Bullets",131,"OT",NA,""
"196910240BOS",1969-10-24,"Atlanta Hawks",122,"Boston Celtics",110,"",NA,""
"196910240DET",1969-10-24,"New York Knicks",116,"Detroit Pistons",92,"",NA,""
"196910240LAL",1969-10-24,"Milwaukee Bucks",112,"Los Angeles Lakers",123,"",NA,""
"196910240PHO",1969-10-24,"Chicago Bulls",116,"Phoenix Suns",115,"OT",NA,""
"196910250ATL",1969-10-25,"Detroit Pistons",125,"Atlanta Hawks",104,"",NA,""
"196910250NYK",1969-10-25,"Baltimore Bullets",99,"New York Knicks",128,"",NA,""
"196910250PHI",1969-10-25,"Cincinnati Royals",109,"Philadelphia 76ers",98,"",NA,""
"196910250SDR",1969-10-25,"Phoenix Suns",115,"San Diego Rockets",107,"",NA,""
"196910250SEA",1969-10-25,"Los Angeles Lakers",130,"Seattle SuperSonics",106,"",NA,""
"196910250SFW",1969-10-25,"Milwaukee Bucks",104,"San Francisco Warriors",118,"",NA,""
"196910260LAL",1969-10-26,"Chicago Bulls",125,"Los Angeles Lakers",129,"",NA,""
"196910260PHO",1969-10-26,"Milwaukee Bucks",119,"Phoenix Suns",99,"",NA,""
"196910280DET",1969-10-28,"Baltimore Bullets",125,"Detroit Pistons",110,"",NA,""
"196910280MIL",1969-10-28,"Boston Celtics",120,"Milwaukee Bucks",107,"",NA,""
"196910280NYK",1969-10-28,"Atlanta Hawks",104,"New York Knicks",128,"",NA,""
"196910280SEA",1969-10-28,"Chicago Bulls",116,"Seattle SuperSonics",114,"",NA,""
"196910290ATL",1969-10-29,"San Diego Rockets",113,"Atlanta Hawks",117,"",NA,""
"196910290BAL",1969-10-29,"Philadelphia 76ers",129,"Baltimore Bullets",105,"",NA,""
"196910290SFW",1969-10-29,"Chicago Bulls",101,"San Francisco Warriors",87,"",NA,""
"196910300DET",1969-10-30,"Milwaukee Bucks",102,"Detroit Pistons",81,"",NA,""
"196910300NYK",1969-10-30,"San Diego Rockets",110,"New York Knicks",123,"",NA,""
"196910300PHO",1969-10-30,"Cincinnati Royals",104,"Phoenix Suns",106,"",NA,""
"196910310BAL",1969-10-31,"Chicago Bulls",118,"Baltimore Bullets",109,"",NA,"at Boston, MA"
"196910310BOS",1969-10-31,"San Diego Rockets",113,"Boston Celtics",118,"",NA,""
"196910310PHI",1969-10-31,"Milwaukee Bucks",129,"Philadelphia 76ers",125,"OT",NA,""
"196910310SEA",1969-10-31,"Cincinnati Royals",121,"Seattle SuperSonics",129,"",NA,""
