"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"194910290TRI",1949-10-29,"Denver Nuggets",85,"Tri-Cities Blackhawks",93,"",NA,""
"194911010CHS",1949-11-01,"New York Knicks",89,"Chicago Stags",87,"OT",NA,""
"194911010INO",1949-11-01,"Denver Nuggets",64,"Indianapolis Olympians",71,"",NA,""
"194911010ROC",1949-11-01,"Sheboygan Red Skins",75,"Rochester Royals",108,"",NA,""
"194911010STB",1949-11-01,"Tri-Cities Blackhawks",51,"St. Louis Bombers",72,"",NA,"at Chicago, IL"
"194911020PHW",1949-11-02,"Minneapolis Lakers",81,"Philadelphia Warriors",69,"",NA,""
"194911020WAT",1949-11-02,"New York Knicks",68,"Waterloo Hawks",60,"",NA,""
"194911020WSC",1949-11-02,"Baltimore Bullets",61,"Washington Capitols",66,"",NA,""
"194911030AND",1949-11-03,"Tri-Cities Blackhawks",87,"Anderson Packers",110,"",NA,""
"194911030BLB",1949-11-03,"St. Louis Bombers",81,"Baltimore Bullets",65,"",NA,""
"194911030FTW",1949-11-03,"New York Knicks",72,"Fort Wayne Pistons",87,"",NA,""
"194911030SHE",1949-11-03,"Boston Celtics",83,"Sheboygan Red Skins",98,"",NA,""
"194911030SYR",1949-11-03,"Denver Nuggets",58,"Syracuse Nationals",78,"",NA,""
"194911040PHW",1949-11-04,"St. Louis Bombers",58,"Philadelphia Warriors",79,"",NA,""
"194911050BLB",1949-11-05,"Minneapolis Lakers",92,"Baltimore Bullets",77,"",NA,""
"194911050CHS",1949-11-05,"Boston Celtics",70,"Chicago Stags",86,"",NA,""
"194911050DNN",1949-11-05,"Syracuse Nationals",84,"Denver Nuggets",51,"",NA,"at Auburn, NY"
"194911050ROC",1949-11-05,"Philadelphia Warriors",53,"Rochester Royals",83,"",NA,""
"194911050TRI",1949-11-05,"New York Knicks",76,"Tri-Cities Blackhawks",72,"",NA,""
"194911050WSC",1949-11-05,"St. Louis Bombers",69,"Washington Capitols",81,"",NA,""
"194911060FTW",1949-11-06,"Chicago Stags",70,"Fort Wayne Pistons",87,"",NA,""
"194911060SHE",1949-11-06,"New York Knicks",93,"Sheboygan Red Skins",99,"",NA,""
"194911060SYR",1949-11-06,"Philadelphia Warriors",72,"Syracuse Nationals",82,"",NA,""
"194911060WAT",1949-11-06,"Boston Celtics",66,"Waterloo Hawks",80,"",NA,""
"194911080AND",1949-11-08,"St. Louis Bombers",62,"Anderson Packers",70,"",NA,"at Richmond, IN"
"194911080INO",1949-11-08,"New York Knicks",79,"Indianapolis Olympians",64,"",NA,""
"194911080WSC",1949-11-08,"Minneapolis Lakers",68,"Washington Capitols",66,"",NA,""
"194911090AND",1949-11-09,"Tri-Cities Blackhawks",99,"Anderson Packers",102,"3OT",NA,"at Chicago, IL"
"194911090CHS",1949-11-09,"Rochester Royals",72,"Chicago Stags",75,"OT",NA,""
"194911090PHW",1949-11-09,"Washington Capitols",84,"Philadelphia Warriors",69,"",NA,""
"194911090SYR",1949-11-09,"Indianapolis Olympians",73,"Syracuse Nationals",103,"",NA,""
"194911090WAT",1949-11-09,"Denver Nuggets",65,"Waterloo Hawks",80,"",NA,""
"194911100BLB",1949-11-10,"Washington Capitols",88,"Baltimore Bullets",72,"",NA,""
"194911100BOS",1949-11-10,"Minneapolis Lakers",98,"Boston Celtics",84,"",NA,""
"194911100CHS",1949-11-10,"Denver Nuggets",53,"Chicago Stags",64,"",NA,"at St. Louis, MO"
