"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"199911020CHH",1999-11-02,"Orlando Magic",86,"Charlotte Hornets",100,"",17461,""
"199911020DAL",1999-11-02,"Golden State Warriors",96,"Dallas Mavericks",108,"",12848,""
"199911020DEN",1999-11-02,"Phoenix Suns",102,"Denver Nuggets",107,"OT",19099,""
"199911020HOU",1999-11-02,"Milwaukee Bucks",98,"Houston Rockets",93,"",14491,""
"199911020LAC",1999-11-02,"Seattle SuperSonics",104,"Los Angeles Clippers",92,"",17847,""
"199911020MIA",1999-11-02,"Detroit Pistons",122,"Miami Heat",128,"2OT",14623,""
"199911020NJN",1999-11-02,"Indiana Pacers",119,"New Jersey Nets",112,"",13051,""
"199911020NYK",1999-11-02,"Cleveland Cavaliers",84,"New York Knicks",92,"",19763,""
"199911020SAS",1999-11-02,"Philadelphia 76ers",76,"San Antonio Spurs",89,"",27288,""
"199911020TOR",1999-11-02,"Boston Celtics",103,"Toronto Raptors",90,"",17711,""
"199911020UTA",1999-11-02,"Los Angeles Lakers",91,"Utah Jazz",84,"",19911,""
"199911020VAN",1999-11-02,"Portland Trail Blazers",106,"Vancouver Grizzlies",86,"",18218,""
"199911020WAS",1999-11-02,"Atlanta Hawks",87,"Washington Wizards",94,"",16038,""
"199911030BOS",1999-11-03,"Washington Wizards",101,"Boston Celtics",112,"",16082,""
"199911030CHI",1999-11-03,"New York Knicks",84,"Chicago Bulls",74,"",22176,""
"199911030CLE",1999-11-03,"New Jersey Nets",90,"Cleveland Cavaliers",97,"",16777,""
"199911030LAL",1999-11-03,"Vancouver Grizzlies",88,"Los Angeles Lakers",103,"",18997,""
"199911030ORL",1999-11-03,"Detroit Pistons",94,"Orlando Magic",103,"",14253,""
"199911030POR",1999-11-03,"Los Angeles Clippers",98,"Portland Trail Blazers",121,"",20584,""
"199911040ATL",1999-11-04,"Milwaukee Bucks",119,"Atlanta Hawks",109,"",18514,""
"199911040CHH",1999-11-04,"Indiana Pacers",89,"Charlotte Hornets",98,"",15762,""
"199911040PHO",1999-11-04,"Philadelphia 76ers",80,"Phoenix Suns",84,"",19023,""
"199911040SAS",1999-11-04,"Golden State Warriors",81,"San Antonio Spurs",104,"",14508,""
"199911040SEA",1999-11-04,"Dallas Mavericks",96,"Seattle SuperSonics",106,"",16140,""
"199911040TOR",1999-11-04,"Miami Heat",86,"Toronto Raptors",97,"",16389,""
"199911040UTA",1999-11-04,"Houston Rockets",82,"Utah Jazz",98,"",19142,""
"199911050BOS",1999-11-05,"Charlotte Hornets",100,"Boston Celtics",103,"",16582,""
"199911050CHI",1999-11-05,"Miami Heat",105,"Chicago Bulls",87,"",21972,""
"199911050DET",1999-11-05,"New York Knicks",103,"Detroit Pistons",91,"",22076,""
"199911050HOU",1999-11-05,"San Antonio Spurs",95,"Houston Rockets",85,"",16285,""
"199911050LAC",1999-11-05,"Philadelphia 76ers",81,"Los Angeles Clippers",91,"",14271,""
"199911050NJN",1999-11-05,"Toronto Raptors",112,"New Jersey Nets",92,"",15517,""
"199911050ORL",1999-11-05,"Cleveland Cavaliers",104,"Orlando Magic",99,"",13142,""
"199911050POR",1999-11-05,"Denver Nuggets",83,"Portland Trail Blazers",95,"",19995,""
"199911050SAC",1999-11-05,"Minnesota Timberwolves",95,"Sacramento Kings",100,"",32623,"at Tokyo, Japan"
