"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"201701010ATL",2017-01-01,"6:00 pm","San Antonio Spurs",112,"Atlanta Hawks",114,"OT",18088,""
"201701010IND",2017-01-01,"6:00 pm","Orlando Magic",104,"Indiana Pacers",117,"",17530,""
"201701010LAL",2017-01-01,"9:30 pm","Toronto Raptors",123,"Los Angeles Lakers",114,"",18997,""
"201701010MIA",2017-01-01,"6:00 pm","Detroit Pistons",107,"Miami Heat",98,"",19844,""
"201701010MIN",2017-01-01,"7:00 pm","Portland Trail Blazers",95,"Minnesota Timberwolves",89,"",15804,""
"201701020BRK",2017-01-02,"7:30 pm","Utah Jazz",101,"Brooklyn Nets",89,"",15634,""
"201701020CHI",2017-01-02,"8:00 pm","Charlotte Hornets",111,"Chicago Bulls",118,"",21612,""
"201701020CLE",2017-01-02,"7:00 pm","New Orleans Pelicans",82,"Cleveland Cavaliers",90,"",20562,""
"201701020GSW",2017-01-02,"10:30 pm","Denver Nuggets",119,"Golden State Warriors",127,"",19596,""
"201701020HOU",2017-01-02,"8:00 pm","Washington Wizards",91,"Houston Rockets",101,"",16569,""
"201701020LAC",2017-01-02,"10:30 pm","Phoenix Suns",98,"Los Angeles Clippers",109,"",19060,""
"201701020MIL",2017-01-02,"7:00 pm","Oklahoma City Thunder",94,"Milwaukee Bucks",98,"",17423,""
"201701020NYK",2017-01-02,"7:30 pm","Orlando Magic",115,"New York Knicks",103,"",19812,""
"201701030BOS",2017-01-03,"7:30 pm","Utah Jazz",104,"Boston Celtics",115,"",18624,""
"201701030DAL",2017-01-03,"8:30 pm","Washington Wizards",105,"Dallas Mavericks",113,"",19318,""
"201701030DEN",2017-01-03,"9:00 pm","Sacramento Kings",120,"Denver Nuggets",113,"",11018,""
"201701030DET",2017-01-03,"7:30 pm","Indiana Pacers",121,"Detroit Pistons",116,"",13435,""
"201701030LAL",2017-01-03,"10:30 pm","Memphis Grizzlies",102,"Los Angeles Lakers",116,"",18997,""
"201701030PHI",2017-01-03,"7:00 pm","Minnesota Timberwolves",91,"Philadelphia 76ers",93,"",17124,""
"201701030PHO",2017-01-03,"9:00 pm","Miami Heat",90,"Phoenix Suns",99,"",16772,""
"201701030SAS",2017-01-03,"8:30 pm","Toronto Raptors",82,"San Antonio Spurs",110,"",18418,""
"201701040CHO",2017-01-04,"7:00 pm","Oklahoma City Thunder",112,"Charlotte Hornets",123,"",18418,""
"201701040CLE",2017-01-04,"8:00 pm","Chicago Bulls",106,"Cleveland Cavaliers",94,"",20562,""
"201701040GSW",2017-01-04,"10:30 pm","Portland Trail Blazers",117,"Golden State Warriors",125,"",19596,""
"201701040LAC",2017-01-04,"10:30 pm","Memphis Grizzlies",106,"Los Angeles Clippers",115,"",19060,""
"201701040NYK",2017-01-04,"7:30 pm","Milwaukee Bucks",105,"New York Knicks",104,"",19812,""
"201701040ORL",2017-01-04,"7:00 pm","Atlanta Hawks",111,"Orlando Magic",92,"",18846,""
"201701040SAC",2017-01-04,"10:30 pm","Miami Heat",107,"Sacramento Kings",102,"",17608,""
"201701050DAL",2017-01-05,"8:30 pm","Phoenix Suns",102,"Dallas Mavericks",95,"",19570,""
"201701050DEN",2017-01-05,"9:00 pm","San Antonio Spurs",127,"Denver Nuggets",99,"",14391,""
"201701050DET",2017-01-05,"7:30 pm","Charlotte Hornets",114,"Detroit Pistons",115,"",13723,""
"201701050HOU",2017-01-05,"8:00 pm","Oklahoma City Thunder",116,"Houston Rockets",118,"",18055,""
"201701050IND",2017-01-05,"7:00 pm","Brooklyn Nets",109,"Indiana Pacers",121,"",16421,""
"201701050NOP",2017-01-05,"8:00 pm","Atlanta Hawks",99,"New Orleans Pelicans",94,"",15003,""
"201701050POR",2017-01-05,"10:30 pm","Los Angeles Lakers",109,"Portland Trail Blazers",118,"",19403,""
"201701050TOR",2017-01-05,"7:30 pm","Utah Jazz",93,"Toronto Raptors",101,"",19800,""
"201701060BOS",2017-01-06,"7:30 pm","Philadelphia 76ers",106,"Boston Celtics",110,"",18624,""
"201701060BRK",2017-01-06,"7:30 pm","Cleveland Cavaliers",116,"Brooklyn Nets",108,"",17732,""
"201701060GSW",2017-01-06,"10:30 pm","Memphis Grizzlies",128,"Golden State Warriors",119,"OT",19596,""
"201701060LAL",2017-01-06,"10:30 pm","Miami Heat",100,"Los Angeles Lakers",127,"",18997,""
"201701060MIL",2017-01-06,"8:00 pm","New York Knicks",116,"Milwaukee Bucks",111,"",18717,""
"201701060ORL",2017-01-06,"7:00 pm","Houston Rockets",100,"Orlando Magic",93,"",19272,""
"201701060SAC",2017-01-06,"10:30 pm","Los Angeles Clippers",106,"Sacramento Kings",98,"",17608,""
"201701060WAS",2017-01-06,"7:00 pm","Minnesota Timberwolves",105,"Washington Wizards",112,"",18686,""
"201701070BOS",2017-01-07,"7:30 pm","New Orleans Pelicans",108,"Boston Celtics",117,"",18624,""
"201701070CHI",2017-01-07,"8:00 pm","Toronto Raptors",118,"Chicago Bulls",123,"OT",21195,""
"201701070DAL",2017-01-07,"8:30 pm","Atlanta Hawks",97,"Dallas Mavericks",82,"",19655,""
"201701070IND",2017-01-07,"7:00 pm","New York Knicks",109,"Indiana Pacers",123,"",17367,""
"201701070MIN",2017-01-07,"8:00 pm","Utah Jazz",94,"Minnesota Timberwolves",92,"",13945,""
"201701070OKC",2017-01-07,"8:00 pm","Denver Nuggets",106,"Oklahoma City Thunder",121,"",18203,""
"201701070SAS",2017-01-07,"8:30 pm","Charlotte Hornets",85,"San Antonio Spurs",102,"",18418,""
"201701080BRK",2017-01-08,"12:00 pm","Philadelphia 76ers",105,"Brooklyn Nets",95,"",16123,""
"201701080LAC",2017-01-08,"3:30 pm","Miami Heat",86,"Los Angeles Clippers",98,"",19060,""
"201701080LAL",2017-01-08,"9:30 pm","Orlando Magic",95,"Los Angeles Lakers",111,"",18997,""
"201701080MEM",2017-01-08,"8:00 pm","Utah Jazz",79,"Memphis Grizzlies",88,"",16112,""
"201701080MIL",2017-01-08,"2:00 pm","Washington Wizards",107,"Milwaukee Bucks",101,"",15311,""
"201701080PHO",2017-01-08,"8:30 pm","Cleveland Cavaliers",120,"Phoenix Suns",116,"",18055,""
"201701080POR",2017-01-08,"9:00 pm","Detroit Pistons",125,"Portland Trail Blazers",124,"2OT",13506,""
"201701080SAC",2017-01-08,"9:00 pm","Golden State Warriors",117,"Sacramento Kings",106,"",17608,""
"201701080TOR",2017-01-08,"6:00 pm","Houston Rockets",129,"Toronto Raptors",122,"",19800,""
"201701090CHI",2017-01-09,"8:00 pm","Oklahoma City Thunder",109,"Chicago Bulls",94,"",21923,""
"201701090MIN",2017-01-09,"8:00 pm","Dallas Mavericks",92,"Minnesota Timberwolves",101,"",9625,""
"201701090NYK",2017-01-09,"7:30 pm","New Orleans Pelicans",110,"New York Knicks",96,"",19812,""
"201701100BRK",2017-01-10,"7:30 pm","Atlanta Hawks",117,"Brooklyn Nets",97,"",13279,""
"201701100GSW",2017-01-10,"10:30 pm","Miami Heat",95,"Golden State Warriors",107,"",19596,""
"201701100HOU",2017-01-10,"8:00 pm","Charlotte Hornets",114,"Houston Rockets",121,"",16196,""
"201701100LAL",2017-01-10,"10:30 pm","Portland Trail Blazers",108,"Los Angeles Lakers",87,"",18483,""
"201701100SAC",2017-01-10,"10:30 pm","Detroit Pistons",94,"Sacramento Kings",100,"",17608,""
"201701100SAS",2017-01-10,"8:30 pm","Milwaukee Bucks",109,"San Antonio Spurs",107,"",18418,""
"201701100TOR",2017-01-10,"7:30 pm","Boston Celtics",106,"Toronto Raptors",114,"",19800,""
"201701100UTA",2017-01-10,"9:00 pm","Cleveland Cavaliers",92,"Utah Jazz",100,"",19911,""
"201701100WAS",2017-01-10,"7:00 pm","Chicago Bulls",99,"Washington Wizards",101,"",14361,""
"201701110BOS",2017-01-11,"8:00 pm","Washington Wizards",108,"Boston Celtics",117,"",18624,""
"201701110LAC",2017-01-11,"10:30 pm","Orlando Magic",96,"Los Angeles Clippers",105,"",19060,""
"201701110MIN",2017-01-11,"8:00 pm","Houston Rockets",105,"Minnesota Timberwolves",119,"",13858,""
"201701110OKC",2017-01-11,"8:00 pm","Memphis Grizzlies",95,"Oklahoma City Thunder",103,"",18203,""
"201701110PHI",2017-01-11,"7:00 pm","New York Knicks",97,"Philadelphia 76ers",98,"",18755,""
"201701110POR",2017-01-11,"10:30 pm","Cleveland Cavaliers",86,"Portland Trail Blazers",102,"",19393,""
"201701120BRK",2017-01-12,"7:30 pm","New Orleans Pelicans",104,"Brooklyn Nets",95,"",14352,""
"201701120DEN",2017-01-12,"3:00 pm","Indiana Pacers",112,"Denver Nuggets",140,"",18689,"at London, England"
"201701120GSW",2017-01-12,"10:30 pm","Detroit Pistons",107,"Golden State Warriors",127,"",19596,""
"201701120NYK",2017-01-12,"8:00 pm","Chicago Bulls",89,"New York Knicks",104,"",19812,""
"201701120PHO",2017-01-12,"10:00 pm","Dallas Mavericks",113,"Phoenix Suns",108,"",19874,"at Mexico City, Mexico"
"201701120SAS",2017-01-12,"8:30 pm","Los Angeles Lakers",94,"San Antonio Spurs",134,"",18418,""
"201701130ATL",2017-01-13,"8:00 pm","Boston Celtics",103,"Atlanta Hawks",101,"",18216,""
"201701130HOU",2017-01-13,"8:00 pm","Memphis Grizzlies",110,"Houston Rockets",105,"",18055,""
"201701130MIL",2017-01-13,"8:00 pm","Miami Heat",108,"Milwaukee Bucks",116,"",17483,""
"201701130MIN",2017-01-13,"8:00 pm","Oklahoma City Thunder",86,"Minnesota Timberwolves",96,"",16644,""
"201701130PHI",2017-01-13,"7:00 pm","Charlotte Hornets",93,"Philadelphia 76ers",102,"",18215,""
"201701130POR",2017-01-13,"10:00 pm","Orlando Magic",115,"Portland Trail Blazers",109,"",19344,""
