"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"201301010DEN",2013-01-01,"9:00 pm","Los Angeles Clippers",78,"Denver Nuggets",92,"",19155,""
"201301010DET",2013-01-01,"7:30 pm","Sacramento Kings",97,"Detroit Pistons",103,"",12175,""
"201301010LAL",2013-01-01,"10:30 pm","Philadelphia 76ers",103,"Los Angeles Lakers",99,"",18997,""
"201301010NOH",2013-01-01,"8:00 pm","Atlanta Hawks",95,"New Orleans Hornets",86,"",12712,""
"201301010NYK",2013-01-01,"7:30 pm","Portland Trail Blazers",105,"New York Knicks",100,"",19033,""
"201301010WAS",2013-01-01,"6:00 pm","Dallas Mavericks",103,"Washington Wizards",94,"",14456,""
"201301020BOS",2013-01-02,"7:30 pm","Memphis Grizzlies",93,"Boston Celtics",83,"",18624,""
"201301020CLE",2013-01-02,"7:00 pm","Sacramento Kings",97,"Cleveland Cavaliers",94,"",12331,""
"201301020GSW",2013-01-02,"10:30 pm","Los Angeles Clippers",94,"Golden State Warriors",115,"",19596,""
"201301020HOU",2013-01-02,"8:00 pm","New Orleans Hornets",92,"Houston Rockets",104,"",18198,""
"201301020IND",2013-01-02,"7:00 pm","Washington Wizards",81,"Indiana Pacers",89,"",11182,""
"201301020MIA",2013-01-02,"7:30 pm","Dallas Mavericks",109,"Miami Heat",119,"OT",20102,""
"201301020MIL",2013-01-02,"8:00 pm","San Antonio Spurs",117,"Milwaukee Bucks",110,"",15084,""
"201301020OKC",2013-01-02,"8:00 pm","Brooklyn Nets",110,"Oklahoma City Thunder",93,"",18203,""
"201301020ORL",2013-01-02,"7:00 pm","Chicago Bulls",96,"Orlando Magic",94,"",18846,""
"201301020PHO",2013-01-02,"9:00 pm","Philadelphia 76ers",89,"Phoenix Suns",95,"",16034,""
"201301020TOR",2013-01-02,"7:00 pm","Portland Trail Blazers",79,"Toronto Raptors",102,"",18117,""
"201301020UTA",2013-01-02,"9:00 pm","Minnesota Timberwolves",84,"Utah Jazz",106,"",19120,""
"201301030DEN",2013-01-03,"9:00 pm","Minnesota Timberwolves",101,"Denver Nuggets",97,"",16921,""
"201301030NYK",2013-01-03,"7:30 pm","San Antonio Spurs",83,"New York Knicks",100,"",19033,""
"201301040BOS",2013-01-04,"8:00 pm","Indiana Pacers",75,"Boston Celtics",94,"",18624,""
"201301040CHA",2013-01-04,"7:00 pm","Cleveland Cavaliers",106,"Charlotte Bobcats",104,"",15576,""
