"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"201501010CHI",2015-01-01,"8:00 pm","Denver Nuggets",101,"Chicago Bulls",106,"",21794,""
"201501010MIN",2015-01-01,"8:00 pm","Sacramento Kings",110,"Minnesota Timberwolves",107,"",13337,""
"201501020BOS",2015-01-02,"7:30 pm","Dallas Mavericks",119,"Boston Celtics",101,"",18624,""
"201501020CHO",2015-01-02,"7:00 pm","Cleveland Cavaliers",91,"Charlotte Hornets",87,"",19307,""
"201501020GSW",2015-01-02,"10:30 pm","Toronto Raptors",105,"Golden State Warriors",126,"",19596,""
"201501020LAL",2015-01-02,"10:30 pm","Memphis Grizzlies",109,"Los Angeles Lakers",106,"",18997,""
"201501020MIL",2015-01-02,"8:30 pm","Indiana Pacers",94,"Milwaukee Bucks",91,"",16238,""
"201501020NOP",2015-01-02,"8:00 pm","Houston Rockets",83,"New Orleans Pelicans",111,"",17705,""
"201501020NYK",2015-01-02,"7:30 pm","Detroit Pistons",97,"New York Knicks",81,"",19812,""
"201501020OKC",2015-01-02,"8:00 pm","Washington Wizards",102,"Oklahoma City Thunder",109,"",18203,""
"201501020ORL",2015-01-02,"7:00 pm","Brooklyn Nets",100,"Orlando Magic",98,"",17008,""
"201501020PHO",2015-01-02,"9:00 pm","Philadelphia 76ers",96,"Phoenix Suns",112,"",16514,""
"201501020UTA",2015-01-02,"9:00 pm","Atlanta Hawks",98,"Utah Jazz",92,"",19029,""
"201501030CHI",2015-01-03,"8:00 pm","Boston Celtics",104,"Chicago Bulls",109,"OT",21820,""
"201501030DEN",2015-01-03,"9:00 pm","Memphis Grizzlies",85,"Denver Nuggets",114,"",16350,""
"201501030HOU",2015-01-03,"8:00 pm","Miami Heat",79,"Houston Rockets",115,"",18338,""
"201501030LAC",2015-01-03,"10:30 pm","Philadelphia 76ers",91,"Los Angeles Clippers",127,"",19060,""
"201501030MIN",2015-01-03,"8:00 pm","Utah Jazz",101,"Minnesota Timberwolves",89,"",13702,""
"201501030ORL",2015-01-03,"7:00 pm","Charlotte Hornets",98,"Orlando Magic",90,"",15274,""
"201501030POR",2015-01-03,"10:00 pm","Atlanta Hawks",115,"Portland Trail Blazers",107,"",19829,""
"201501030SAS",2015-01-03,"8:30 pm","Washington Wizards",92,"San Antonio Spurs",101,"",18581,""
"201501040CLE",2015-01-04,"1:00 pm","Dallas Mavericks",109,"Cleveland Cavaliers",90,"",20562,""
"201501040DET",2015-01-04,"6:00 pm","Sacramento Kings",95,"Detroit Pistons",114,"",12254,""
"201501040LAL",2015-01-04,"9:30 pm","Indiana Pacers",87,"Los Angeles Lakers",88,"",18997,""
"201501040MIA",2015-01-04,"6:00 pm","Brooklyn Nets",84,"Miami Heat",88,"",20181,""
"201501040NYK",2015-01-04,"7:30 pm","Milwaukee Bucks",95,"New York Knicks",82,"",19812,""
"201501040PHO",2015-01-04,"8:00 pm","Toronto Raptors",109,"Phoenix Suns",125,"",17166,""
"201501050BOS",2015-01-05,"7:30 pm","Charlotte Hornets",104,"Boston Celtics",95,"",16720,""
"201501050BRK",2015-01-05,"7:30 pm","Dallas Mavericks",96,"Brooklyn Nets",88,"OT",17732,""
"201501050CHI",2015-01-05,"8:00 pm","Houston Rockets",105,"Chicago Bulls",114,"",21510,""
"201501050GSW",2015-01-05,"10:30 pm","Oklahoma City Thunder",91,"Golden State Warriors",117,"",19596,""
"201501050LAC",2015-01-05,"10:30 pm","Atlanta Hawks",107,"Los Angeles Clippers",98,"",19060,""
"201501050MEM",2015-01-05,"8:00 pm","New York Knicks",83,"Memphis Grizzlies",105,"",16888,""
"201501050MIN",2015-01-05,"8:00 pm","Denver Nuggets",110,"Minnesota Timberwolves",101,"",10386,""
"201501050NOP",2015-01-05,"8:00 pm","Washington Wizards",92,"New Orleans Pelicans",85,"",16182,""
"201501050PHI",2015-01-05,"7:00 pm","Cleveland Cavaliers",92,"Philadelphia 76ers",95,"",17771,""
"201501050POR",2015-01-05,"10:00 pm","Los Angeles Lakers",94,"Portland Trail Blazers",98,"",19827,""
