"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"201801010BRK",2018-01-01,"7:30p","Orlando Magic",95,"Brooklyn Nets",98,"",16164,""
"201801010CHI",2018-01-01,"8:00p","Portland Trail Blazers",124,"Chicago Bulls",120,"OT",20860,""
"201801010MIN",2018-01-01,"8:00p","Los Angeles Lakers",96,"Minnesota Timberwolves",114,"",18978,""
"201801010TOR",2018-01-01,"7:30p","Milwaukee Bucks",127,"Toronto Raptors",131,"OT",19800,""
"201801020CLE",2018-01-02,"7:00p","Portland Trail Blazers",110,"Cleveland Cavaliers",127,"",20562,""
"201801020LAC",2018-01-02,"10:30p","Memphis Grizzlies",105,"Los Angeles Clippers",113,"",15711,""
"201801020NYK",2018-01-02,"7:30p","San Antonio Spurs",100,"New York Knicks",91,"",19812,""
"201801020PHO",2018-01-02,"9:00p","Atlanta Hawks",103,"Phoenix Suns",104,"",15921,""
"201801020SAC",2018-01-02,"10:00p","Charlotte Hornets",131,"Sacramento Kings",111,"",17583,""
"201801030BOS",2018-01-03,"8:00p","Cleveland Cavaliers",88,"Boston Celtics",102,"",18624,""
"201801030BRK",2018-01-03,"7:30p","Minnesota Timberwolves",97,"Brooklyn Nets",98,"",16215,""
"201801030CHI",2018-01-03,"8:00p","Toronto Raptors",124,"Chicago Bulls",115,"",20056,""
"201801030DAL",2018-01-03,"8:30p","Golden State Warriors",125,"Dallas Mavericks",122,"",20212,""
"201801030DEN",2018-01-03,"9:00p","Phoenix Suns",111,"Denver Nuggets",134,"",14079,""
"201801030LAL",2018-01-03,"10:30p","Oklahoma City Thunder",133,"Los Angeles Lakers",96,"",18997,""
"201801030MIA",2018-01-03,"7:30p","Detroit Pistons",104,"Miami Heat",111,"",19600,""
"201801030MIL",2018-01-03,"8:00p","Indiana Pacers",101,"Milwaukee Bucks",122,"",15613,""
"201801030ORL",2018-01-03,"7:00p","Houston Rockets",116,"Orlando Magic",98,"",18588,""
"201801030PHI",2018-01-03,"7:00p","San Antonio Spurs",106,"Philadelphia 76ers",112,"",20642,""
"201801030UTA",2018-01-03,"9:00p","New Orleans Pelicans",108,"Utah Jazz",98,"",18306,""
"201801030WAS",2018-01-03,"7:00p","New York Knicks",103,"Washington Wizards",121,"",17206,""
"201801040HOU",2018-01-04,"8:00p","Golden State Warriors",124,"Houston Rockets",114,"",18055,""
"201801040LAC",2018-01-04,"10:30p","Oklahoma City Thunder",127,"Los Angeles Clippers",117,"",19068,""
