"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"199411040ATL",1994-11-04,"Indiana Pacers",94,"Atlanta Hawks",92,"",12568,""
"199411040BOS",1994-11-04,"New York Knicks",120,"Boston Celtics",107,"",14890,""
"199411040CHI",1994-11-04,"Charlotte Hornets",83,"Chicago Bulls",89,"",22313,""
"199411040DEN",1994-11-04,"Minnesota Timberwolves",108,"Denver Nuggets",130,"",17171,""
"199411040DET",1994-11-04,"Los Angeles Lakers",115,"Detroit Pistons",98,"",21454,""
"199411040HOU",1994-11-04,"New Jersey Nets",86,"Houston Rockets",90,"",16611,""
"199411040LAC",1994-11-04,"Portland Trail Blazers",121,"Los Angeles Clippers",100,"",14229,"at Yokohama, Japan"
"199411040PHI",1994-11-04,"Milwaukee Bucks",91,"Philadelphia 76ers",86,"",16114,""
"199411040SAC",1994-11-04,"Phoenix Suns",89,"Sacramento Kings",107,"",17317,""
"199411040SAS",1994-11-04,"Golden State Warriors",123,"San Antonio Spurs",118,"",30542,""
"199411040UTA",1994-11-04,"Miami Heat",108,"Utah Jazz",119,"",19911,""
"199411040WSB",1994-11-04,"Orlando Magic",108,"Washington Bullets",110,"",18756,""
"199411050ATL",1994-11-05,"Detroit Pistons",114,"Atlanta Hawks",109,"OT",11587,""
"199411050CHH",1994-11-05,"Cleveland Cavaliers",115,"Charlotte Hornets",107,"",23698,""
"199411050CHI",1994-11-05,"Washington Bullets",100,"Chicago Bulls",99,"OT",22186,""
"199411050DAL",1994-11-05,"New Jersey Nets",103,"Dallas Mavericks",112,"",17502,""
"199411050DEN",1994-11-05,"Golden State Warriors",108,"Denver Nuggets",104,"",17171,""
"199411050IND",1994-11-05,"Boston Celtics",103,"Indiana Pacers",112,"",16532,""
"199411050MIL",1994-11-05,"Los Angeles Lakers",96,"Milwaukee Bucks",97,"",18633,""
"199411050MIN",1994-11-05,"Houston Rockets",115,"Minnesota Timberwolves",85,"",16578,""
"199411050ORL",1994-11-05,"Philadelphia 76ers",107,"Orlando Magic",122,"",16010,""
"199411050POR",1994-11-05,"Los Angeles Clippers",95,"Portland Trail Blazers",112,"",14239,"at Yokohama, Japan"
"199411050SEA",1994-11-05,"Utah Jazz",103,"Seattle SuperSonics",110,"",16324,""
"199411060PHO",1994-11-06,"Miami Heat",107,"Phoenix Suns",119,"",19023,""
"199411070CHI",1994-11-07,"Philadelphia 76ers",83,"Chicago Bulls",98,"",22122,""
"199411070SAS",1994-11-07,"New Jersey Nets",96,"San Antonio Spurs",105,"",13805,""
"199411070UTA",1994-11-07,"Atlanta Hawks",86,"Utah Jazz",104,"",18661,""
"199411080CLE",1994-11-08,"Houston Rockets",100,"Cleveland Cavaliers",98,"",20562,""
"199411080DAL",1994-11-08,"Denver Nuggets",115,"Dallas Mavericks",107,"",12526,""
"199411080DET",1994-11-08,"Minnesota Timberwolves",112,"Detroit Pistons",126,"",13424,""
"199411080GSW",1994-11-08,"Miami Heat",114,"Golden State Warriors",121,"",15025,""
"199411080NYK",1994-11-08,"Los Angeles Lakers",113,"New York Knicks",117,"",19763,""
"199411090CHH",1994-11-09,"Orlando Magic",130,"Charlotte Hornets",128,"OT",23698,""
"199411090IND",1994-11-09,"Houston Rockets",109,"Indiana Pacers",104,"",15258,""
"199411090MIN",1994-11-09,"Los Angeles Lakers",122,"Minnesota Timberwolves",99,"",15892,""
"199411090NJN",1994-11-09,"Chicago Bulls",109,"New Jersey Nets",110,"",20049,""
"199411090PHI",1994-11-09,"Washington Bullets",97,"Philadelphia 76ers",98,"",6811,""
"199411090PHO",1994-11-09,"Atlanta Hawks",102,"Phoenix Suns",106,"",19023,""
"199411090SAS",1994-11-09,"Utah Jazz",101,"San Antonio Spurs",109,"",14354,""
"199411090SEA",1994-11-09,"Sacramento Kings",108,"Seattle SuperSonics",100,"",16352,""
"199411100CLE",1994-11-10,"Milwaukee Bucks",88,"Cleveland Cavaliers",108,"",19203,""
"199411100DET",1994-11-10,"Indiana Pacers",110,"Detroit Pistons",112,"",15355,""
"199411100LAC",1994-11-10,"Atlanta Hawks",108,"Los Angeles Clippers",91,"",8188,""
"199411100NYK",1994-11-10,"Orlando Magic",99,"New York Knicks",101,"",19763,""
"199411100SAC",1994-11-10,"Portland Trail Blazers",104,"Sacramento Kings",84,"",17317,""
"199411110BOS",1994-11-11,"Houston Rockets",102,"Boston Celtics",82,"",14890,""
"199411110LAL",1994-11-11,"Denver Nuggets",124,"Los Angeles Lakers",117,"OT",16950,""
"199411110MIL",1994-11-11,"Charlotte Hornets",123,"Milwaukee Bucks",115,"",16236,""
"199411110MIN",1994-11-11,"Chicago Bulls",112,"Minnesota Timberwolves",100,"",15109,""
"199411110PHI",1994-11-11,"Dallas Mavericks",107,"Philadelphia 76ers",100,"",10121,""
"199411110SEA",1994-11-11,"Phoenix Suns",123,"Seattle SuperSonics",129,"",16352,""
"199411110UTA",1994-11-11,"Golden State Warriors",112,"Utah Jazz",104,"",19783,""
"199411110WSB",1994-11-11,"New Jersey Nets",91,"Washington Bullets",104,"",10711,""
"199411120CHH",1994-11-12,"Detroit Pistons",100,"Charlotte Hornets",113,"",23698,""
"199411120CHI",1994-11-12,"Dallas Mavericks",124,"Chicago Bulls",120,"OT",22195,""
"199411120CLE",1994-11-12,"Indiana Pacers",93,"Cleveland Cavaliers",86,"",20401,""
"199411120DEN",1994-11-12,"Utah Jazz",110,"Denver Nuggets",119,"",17171,""
"199411120GSW",1994-11-12,"Los Angeles Lakers",99,"Golden State Warriors",121,"",15025,""
"199411120LAC",1994-11-12,"Phoenix Suns",108,"Los Angeles Clippers",101,"",18018,"at Anaheim, CA"
"199411120MIA",1994-11-12,"Washington Bullets",109,"Miami Heat",99,"",15100,""
"199411120MIN",1994-11-12,"Boston Celtics",114,"Minnesota Timberwolves",101,"",13278,""
"199411120NJN",1994-11-12,"Houston Rockets",100,"New Jersey Nets",84,"",20049,""
"199411120PHI",1994-11-12,"Orlando Magic",116,"Philadelphia 76ers",103,"",17247,""
"199411120SAC",1994-11-12,"Atlanta Hawks",97,"Sacramento Kings",105,"",17317,""
"199411120SAS",1994-11-12,"New York Knicks",82,"San Antonio Spurs",101,"",19710,""
"199411130SEA",1994-11-13,"Los Angeles Clippers",90,"Seattle SuperSonics",115,"",16352,""
"199411140UTA",1994-11-14,"New York Knicks",97,"Utah Jazz",110,"",18955,""
"199411150ATL",1994-11-15,"Boston Celtics",94,"Atlanta Hawks",110,"",10376,""
"199411150CLE",1994-11-15,"Charlotte Hornets",86,"Cleveland Cavaliers",89,"OT",19959,""
"199411150DEN",1994-11-15,"San Antonio Spurs",99,"Denver Nuggets",112,"",17171,""
"199411150DET",1994-11-15,"Philadelphia 76ers",98,"Detroit Pistons",99,"",14189,""
"199411150GSW",1994-11-15,"Minnesota Timberwolves",114,"Golden State Warriors",112,"",15025,""
"199411150HOU",1994-11-15,"Sacramento Kings",99,"Houston Rockets",105,"",14656,""
"199411150LAC",1994-11-15,"Los Angeles Lakers",102,"Los Angeles Clippers",92,"",8807,""
"199411150MIA",1994-11-15,"Dallas Mavericks",102,"Miami Heat",115,"",14324,""
"199411150MIL",1994-11-15,"Indiana Pacers",81,"Milwaukee Bucks",82,"",15264,""
