"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196510150CIN",1965-10-15,"St. Louis Hawks",111,"Cincinnati Royals",100,"",NA,""
"196510150SFW",1965-10-15,"Los Angeles Lakers",122,"San Francisco Warriors",115,"",NA,""
"196510160BAL",1965-10-16,"Philadelphia 76ers",133,"Baltimore Bullets",101,"",NA,""
"196510160BOS",1965-10-16,"Cincinnati Royals",98,"Boston Celtics",102,"",NA,""
"196510160NYK",1965-10-16,"Detroit Pistons",103,"New York Knicks",111,"",NA,""
"196510160STL",1965-10-16,"Los Angeles Lakers",106,"St. Louis Hawks",94,"",NA,""
"196510170CIN",1965-10-17,"Baltimore Bullets",124,"Cincinnati Royals",144,"",NA,""
"196510190CIN",1965-10-19,"San Francisco Warriors",100,"Cincinnati Royals",99,"",NA,""
"196510200BAL",1965-10-20,"St. Louis Hawks",99,"Baltimore Bullets",119,"",NA,""
"196510200BOS",1965-10-20,"Los Angeles Lakers",96,"Boston Celtics",100,"",NA,""
"196510200DET",1965-10-20,"New York Knicks",103,"Detroit Pistons",116,"",NA,""
"196510230BAL",1965-10-23,"San Francisco Warriors",123,"Baltimore Bullets",108,"",NA,""
"196510230NYK",1965-10-23,"Los Angeles Lakers",101,"New York Knicks",106,"",NA,""
"196510230PHI",1965-10-23,"Detroit Pistons",103,"Philadelphia 76ers",120,"",NA,""
"196510230STL",1965-10-23,"Boston Celtics",110,"St. Louis Hawks",120,"",NA,""
"196510260DET",1965-10-26,"Baltimore Bullets",117,"Detroit Pistons",98,"",NA,""
"196510260LAL",1965-10-26,"New York Knicks",102,"Los Angeles Lakers",104,"",NA,""
"196510270BAL",1965-10-27,"Detroit Pistons",108,"Baltimore Bullets",107,"",NA,""
"196510280CIN",1965-10-28,"Boston Celtics",108,"Cincinnati Royals",113,"",NA,""
"196510280LAL",1965-10-28,"New York Knicks",116,"Los Angeles Lakers",140,"",NA,""
"196510290BAL",1965-10-29,"Cincinnati Royals",131,"Baltimore Bullets",121,"",NA,""
"196510290DET",1965-10-29,"Boston Celtics",106,"Detroit Pistons",108,"",NA,""
"196510290SFW",1965-10-29,"New York Knicks",100,"San Francisco Warriors",110,"",NA,""
"196510300LAL",1965-10-30,"San Francisco Warriors",124,"Los Angeles Lakers",122,"",NA,""
"196510300PHI",1965-10-30,"Cincinnati Royals",114,"Philadelphia 76ers",134,"",NA,""
"196510300STL",1965-10-30,"Detroit Pistons",95,"St. Louis Hawks",122,"",NA,""
"196510310BOS",1965-10-31,"Baltimore Bullets",100,"Boston Celtics",105,"",NA,""
"196510310CIN",1965-10-31,"Detroit Pistons",107,"Cincinnati Royals",113,"",NA,""
"196510310SFW",1965-10-31,"New York Knicks",104,"San Francisco Warriors",103,"",NA,""
"196511030BAL",1965-11-03,"New York Knicks",114,"Baltimore Bullets",129,"",NA,""
"196511030CIN",1965-11-03,"San Francisco Warriors",108,"Cincinnati Royals",122,"",NA,""
"196511030DET",1965-11-03,"Philadelphia 76ers",100,"Detroit Pistons",110,"",NA,""
"196511030LAL",1965-11-03,"St. Louis Hawks",116,"Los Angeles Lakers",120,"",NA,""
"196511040NYK",1965-11-04,"Baltimore Bullets",107,"New York Knicks",108,"",NA,""
"196511040PHI",1965-11-04,"San Francisco Warriors",121,"Philadelphia 76ers",119,"",NA,"at New York, NY"
"196511050BAL",1965-11-05,"Boston Celtics",129,"Baltimore Bullets",118,"",NA,""
"196511050DET",1965-11-05,"Cincinnati Royals",120,"Detroit Pistons",114,"",NA,""
"196511050LAL",1965-11-05,"St. Louis Hawks",116,"Los Angeles Lakers",118,"",NA,""
"196511050PHI",1965-11-05,"San Francisco Warriors",115,"Philadelphia 76ers",133,"",NA,""
"196511060BOS",1965-11-06,"Philadelphia 76ers",91,"Boston Celtics",101,"",NA,""
"196511060NYK",1965-11-06,"Cincinnati Royals",114,"New York Knicks",103,"",NA,""
"196511060SFW",1965-11-06,"Detroit Pistons",100,"San Francisco Warriors",110,"",NA,""
"196511060STL",1965-11-06,"Los Angeles Lakers",101,"St. Louis Hawks",131,"",NA,""
"196511070BAL",1965-11-07,"Los Angeles Lakers",116,"Baltimore Bullets",137,"",NA,""
"196511090BAL",1965-11-09,"Boston Celtics",130,"Baltimore Bullets",116,"",NA,"at Providence, RI"
"196511090PHI",1965-11-09,"Los Angeles Lakers",110,"Philadelphia 76ers",118,"",NA,""
"196511090SFW",1965-11-09,"Detroit Pistons",102,"San Francisco Warriors",107,"",2436,""
"196511100BAL",1965-11-10,"St. Louis Hawks",117,"Baltimore Bullets",124,"",NA,""
"196511100CIN",1965-11-10,"New York Knicks",119,"Cincinnati Royals",124,"",NA,""
"196511100LAL",1965-11-10,"Detroit Pistons",125,"Los Angeles Lakers",133,"",NA,""
"196511110BOS",1965-11-11,"St. Louis Hawks",83,"Boston Celtics",87,"",NA,""
"196511110PHI",1965-11-11,"San Francisco Warriors",101,"Philadelphia 76ers",109,"",NA,"at Boston, MA"
"196511120DET",1965-11-12,"San Francisco Warriors",103,"Detroit Pistons",102,"",NA,""
"196511120LAL",1965-11-12,"New York Knicks",106,"Los Angeles Lakers",107,"",NA,"at Minneapolis, MN"
"196511120PHI",1965-11-12,"Boston Celtics",114,"Philadelphia 76ers",123,"",NA,""
"196511130BOS",1965-11-13,"Detroit Pistons",93,"Boston Celtics",122,"",NA,""
"196511130CIN",1965-11-13,"Baltimore Bullets",132,"Cincinnati Royals",135,"",NA,""
"196511130NYK",1965-11-13,"Philadelphia 76ers",127,"New York Knicks",119,"",NA,""
"196511130STL",1965-11-13,"San Francisco Warriors",113,"St. Louis Hawks",138,"",NA,""
"196511140LAL",1965-11-14,"Baltimore Bullets",114,"Los Angeles Lakers",129,"",NA,""
"196511150BAL",1965-11-15,"San Francisco Warriors",123,"Baltimore Bullets",112,"",NA,"at San Jose, CA"
"196511160NYK",1965-11-16,"Detroit Pistons",95,"New York Knicks",120,"",NA,""
