"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196310160BAL",1963-10-16,"Boston Celtics",109,"Baltimore Bullets",95,"",NA,""
"196310160DET",1963-10-16,"Philadelphia 76ers",117,"Detroit Pistons",115,"",NA,""
"196310160STL",1963-10-16,"Cincinnati Royals",112,"St. Louis Hawks",93,"",NA,""
"196310170CIN",1963-10-17,"Boston Celtics",93,"Cincinnati Royals",92,"",NA,""
"196310170NYK",1963-10-17,"Baltimore Bullets",115,"New York Knicks",113,"",NA,""
"196310190BAL",1963-10-19,"San Francisco Warriors",103,"Baltimore Bullets",102,"",NA,""
"196310190CIN",1963-10-19,"New York Knicks",97,"Cincinnati Royals",121,"",NA,""
"196310190PHI",1963-10-19,"Detroit Pistons",124,"Philadelphia 76ers",121,"",NA,""
"196310190STL",1963-10-19,"Los Angeles Lakers",108,"St. Louis Hawks",117,"",NA,""
"196310220CIN",1963-10-22,"San Francisco Warriors",97,"Cincinnati Royals",103,"",NA,""
"196310220NYK",1963-10-22,"Los Angeles Lakers",130,"New York Knicks",117,"",NA,""
"196310230BAL",1963-10-23,"New York Knicks",106,"Baltimore Bullets",115,"",NA,""
"196310230DET",1963-10-23,"Los Angeles Lakers",124,"Detroit Pistons",116,"",NA,""
"196310230STL",1963-10-23,"San Francisco Warriors",99,"St. Louis Hawks",95,"",NA,""
"196310250CIN",1963-10-25,"Los Angeles Lakers",122,"Cincinnati Royals",109,"",NA,""
"196310250PHI",1963-10-25,"New York Knicks",136,"Philadelphia 76ers",112,"",NA,""
"196310260BOS",1963-10-26,"Baltimore Bullets",108,"Boston Celtics",123,"",NA,""
"196310260NYK",1963-10-26,"Philadelphia 76ers",101,"New York Knicks",109,"",NA,""
"196310260SFW",1963-10-26,"Cincinnati Royals",99,"San Francisco Warriors",102,"",NA,""
"196310260STL",1963-10-26,"Detroit Pistons",103,"St. Louis Hawks",127,"",NA,""
"196310270BAL",1963-10-27,"St. Louis Hawks",123,"Baltimore Bullets",112,"",NA,""
"196310290NYK",1963-10-29,"St. Louis Hawks",109,"New York Knicks",103,"OT",NA,""
"196310290SFW",1963-10-29,"Cincinnati Royals",108,"San Francisco Warriors",101,"",NA,""
"196310300BAL",1963-10-30,"Philadelphia 76ers",111,"Baltimore Bullets",108,"",NA,""
"196310300DET",1963-10-30,"Boston Celtics",108,"Detroit Pistons",102,"",NA,""
"196310300LAL",1963-10-30,"Cincinnati Royals",115,"Los Angeles Lakers",107,"",NA,""
"196310300STL",1963-10-30,"New York Knicks",104,"St. Louis Hawks",121,"",NA,""
"196311010LAL",1963-11-01,"Cincinnati Royals",112,"Los Angeles Lakers",122,"",NA,""
"196311010PHI",1963-11-01,"Boston Celtics",119,"Philadelphia 76ers",102,"",NA,""
"196311020BOS",1963-11-02,"Detroit Pistons",109,"Boston Celtics",117,"",NA,""
"196311020NYK",1963-11-02,"Baltimore Bullets",105,"New York Knicks",123,"",NA,""
"196311020SFW",1963-11-02,"Los Angeles Lakers",99,"San Francisco Warriors",118,"",NA,""
"196311020STL",1963-11-02,"Philadelphia 76ers",99,"St. Louis Hawks",128,"",NA,""
"196311030CIN",1963-11-03,"Philadelphia 76ers",93,"Cincinnati Royals",95,"",NA,"at Dayton, OH"
"196311060BAL",1963-11-06,"St. Louis Hawks",112,"Baltimore Bullets",110,"",NA,""
"196311060BOS",1963-11-06,"Cincinnati Royals",121,"Boston Celtics",139,"",NA,""
"196311060DET",1963-11-06,"Philadelphia 76ers",101,"Detroit Pistons",119,"",NA,""
"196311060LAL",1963-11-06,"New York Knicks",109,"Los Angeles Lakers",111,"",NA,""
"196311070SFW",1963-11-07,"New York Knicks",88,"San Francisco Warriors",110,"",NA,""
"196311080CIN",1963-11-08,"Boston Celtics",115,"Cincinnati Royals",116,"",NA,""
"196311080LAL",1963-11-08,"San Francisco Warriors",90,"Los Angeles Lakers",93,"",NA,""
"196311080PHI",1963-11-08,"St. Louis Hawks",106,"Philadelphia 76ers",108,"",NA,""
"196311090BAL",1963-11-09,"Philadelphia 76ers",100,"Baltimore Bullets",116,"",NA,""
"196311090CIN",1963-11-09,"Detroit Pistons",109,"Cincinnati Royals",118,"",NA,""
"196311090SFW",1963-11-09,"New York Knicks",89,"San Francisco Warriors",84,"",NA,"at Oakland, CA"
"196311090STL",1963-11-09,"Boston Celtics",113,"St. Louis Hawks",91,"",NA,""
"196311100LAL",1963-11-10,"New York Knicks",79,"Los Angeles Lakers",104,"",NA,""
"196311110BOS",1963-11-11,"St. Louis Hawks",110,"Boston Celtics",116,"",NA,""
"196311110DET",1963-11-11,"Los Angeles Lakers",109,"Detroit Pistons",116,"",NA,"at Minneapolis, MN"
"196311120PHI",1963-11-12,"San Francisco Warriors",102,"Philadelphia 76ers",106,"OT",NA,""
"196311130BOS",1963-11-13,"Los Angeles Lakers",110,"Boston Celtics",114,"",NA,"at New York, NY"
"196311130CIN",1963-11-13,"San Francisco Warriors",98,"Cincinnati Royals",92,"",NA,""
