"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"195511050BOS",1955-11-05,"Philadelphia Warriors",87,"Boston Celtics",98,"",NA,""
"195511050ROC",1955-11-05,"New York Knicks",100,"Rochester Royals",98,"OT",NA,""
"195511050STL",1955-11-05,"Minneapolis Lakers",89,"St. Louis Hawks",101,"",NA,""
"195511050SYR",1955-11-05,"Fort Wayne Pistons",113,"Syracuse Nationals",114,"OT",NA,""
"195511060FTW",1955-11-06,"Minneapolis Lakers",96,"Fort Wayne Pistons",95,"",NA,""
"195511060ROC",1955-11-06,"Syracuse Nationals",80,"Rochester Royals",83,"",NA,""
"195511090PHW",1955-11-09,"Minneapolis Lakers",106,"Philadelphia Warriors",117,"",NA,""
"195511100NYK",1955-11-10,"Minneapolis Lakers",105,"New York Knicks",112,"",NA,""
"195511100PHW",1955-11-10,"Rochester Royals",84,"Philadelphia Warriors",89,"",NA,"at New York, NY"
"195511110BOS",1955-11-11,"Minneapolis Lakers",75,"Boston Celtics",119,"",NA,""
"195511120FTW",1955-11-12,"Rochester Royals",84,"Fort Wayne Pistons",79,"",NA,"at St. Louis, MO"
"195511120MNL",1955-11-12,"Philadelphia Warriors",100,"Minneapolis Lakers",89,"",NA,"at Hershey, PA"
"195511120NYK",1955-11-12,"Boston Celtics",95,"New York Knicks",96,"",NA,""
"195511120STL",1955-11-12,"Syracuse Nationals",91,"St. Louis Hawks",81,"",NA,""
"195511130FTW",1955-11-13,"Syracuse Nationals",79,"Fort Wayne Pistons",93,"",NA,""
"195511130NYK",1955-11-13,"Rochester Royals",91,"New York Knicks",94,"",NA,"at Fort Wayne, IN"
"195511150STL",1955-11-15,"New York Knicks",95,"St. Louis Hawks",121,"",NA,""
"195511170FTW",1955-11-17,"New York Knicks",110,"Fort Wayne Pistons",88,"",NA,"at Syracuse, NY"
"195511170PHW",1955-11-17,"Boston Celtics",92,"Philadelphia Warriors",106,"",NA,""
"195511170SYR",1955-11-17,"Minneapolis Lakers",91,"Syracuse Nationals",105,"",NA,""
"195511190BOS",1955-11-19,"Fort Wayne Pistons",102,"Boston Celtics",104,"",NA,""
"195511190NYK",1955-11-19,"St. Louis Hawks",104,"New York Knicks",91,"",NA,""
"195511190PHW",1955-11-19,"Syracuse Nationals",94,"Philadelphia Warriors",102,"",NA,""
"195511190ROC",1955-11-19,"Minneapolis Lakers",91,"Rochester Royals",90,"",NA,""
