"game_id","date_game","game_start_time","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"200010310ATL",2000-10-31,"7:30 pm","Charlotte Hornets",106,"Atlanta Hawks",82,"",18465,""
"200010310CHI",2000-10-31,"8:30 pm","Sacramento Kings",100,"Chicago Bulls",81,"",21814,""
"200010310DAL",2000-10-31,"8:00 pm","Milwaukee Bucks",93,"Dallas Mavericks",97,"",16600,""
"200010310GSW",2000-10-31,"10:30 pm","Phoenix Suns",94,"Golden State Warriors",96,"",15460,""
"200010310HOU",2000-10-31,"8:30 pm","Minnesota Timberwolves",106,"Houston Rockets",98,"",11327,""
"200010310NJN",2000-10-31,"7:30 pm","Cleveland Cavaliers",86,"New Jersey Nets",82,"",14505,""
"200010310NYK",2000-10-31,"8:00 pm","Philadelphia 76ers",101,"New York Knicks",72,"",19763,""
"200010310ORL",2000-10-31,"7:30 pm","Washington Wizards",86,"Orlando Magic",97,"",13349,""
"200010310POR",2000-10-31,"10:30 pm","Los Angeles Lakers",96,"Portland Trail Blazers",86,"",20270,""
"200010310SAS",2000-10-31,"8:30 pm","Indiana Pacers",85,"San Antonio Spurs",98,"",17450,""
"200010310TOR",2000-10-31,"8:00 pm","Detroit Pistons",104,"Toronto Raptors",95,"",19800,""
"200010310UTA",2000-10-31,"9:00 pm","Los Angeles Clippers",94,"Utah Jazz",107,"",17824,""
"200010310VAN",2000-10-31,"10:30 pm","Seattle SuperSonics",88,"Vancouver Grizzlies",94,"",15779,""
"200011010BOS",2000-11-01,"7:00 pm","Detroit Pistons",83,"Boston Celtics",103,"",17725,""
"200011010CHH",2000-11-01,"7:30 pm","Washington Wizards",95,"Charlotte Hornets",77,"",16043,""
"200011010CLE",2000-11-01,"7:30 pm","Sacramento Kings",100,"Cleveland Cavaliers",102,"2OT",17695,""
"200011010LAL",2000-11-01,"10:30 pm","Utah Jazz",97,"Los Angeles Lakers",92,"",18997,""
"200011010MIA",2000-11-01,"8:00 pm","Orlando Magic",79,"Miami Heat",105,"",16500,""
"200011010PHI",2000-11-01,"7:00 pm","Toronto Raptors",98,"Philadelphia 76ers",104,"",19817,""
"200011010SEA",2000-11-01,"10:00 pm","Denver Nuggets",99,"Seattle SuperSonics",112,"",17072,""
"200011020DAL",2000-11-02,"8:00 pm","Indiana Pacers",88,"Dallas Mavericks",94,"",11750,""
"200011020DEN",2000-11-02,"9:00 pm","Golden State Warriors",97,"Denver Nuggets",101,"",15790,""
"200011020HOU",2000-11-02,"8:30 pm","Milwaukee Bucks",93,"Houston Rockets",115,"",10687,""
"200011020LAC",2000-11-02,"10:30 pm","Vancouver Grizzlies",99,"Los Angeles Clippers",91,"",15546,""
"200011020NYK",2000-11-02,"7:30 pm","Atlanta Hawks",69,"New York Knicks",94,"",19763,""
"200011020PHO",2000-11-02,"9:00 pm","Portland Trail Blazers",82,"Phoenix Suns",108,"",18436,""
"200011020SAS",2000-11-02,"8:00 pm","Minnesota Timberwolves",91,"San Antonio Spurs",103,"",14193,""
"200011030BOS",2000-11-03,"7:30 pm","Toronto Raptors",91,"Boston Celtics",93,"",17464,""
"200011030CHH",2000-11-03,"7:30 pm","Miami Heat",79,"Charlotte Hornets",83,"",14016,""
"200011030CHI",2000-11-03,"8:30 pm","New Jersey Nets",92,"Chicago Bulls",82,"",21908,""
"200011030DET",2000-11-03,"8:00 pm","Sacramento Kings",100,"Detroit Pistons",93,"",22076,""
"200011030ORL",2000-11-03,"7:30 pm","Philadelphia 76ers",87,"Orlando Magic",80,"",14233,""
"200011030WAS",2000-11-03,"7:00 pm","New York Knicks",80,"Washington Wizards",76,"",20674,""
"200011040ATL",2000-11-04,"7:30 pm","Orlando Magic",107,"Atlanta Hawks",104,"",13833,""
"200011040CLE",2000-11-04,"7:30 pm","Boston Celtics",89,"Cleveland Cavaliers",91,"",18392,""
"200011040DAL",2000-11-04,"8:00 pm","Utah Jazz",112,"Dallas Mavericks",106,"",16500,""
"200011040DEN",2000-11-04,"9:00 pm","Phoenix Suns",102,"Denver Nuggets",99,"",13312,""
"200011040GSW",2000-11-04,"10:30 pm","San Antonio Spurs",117,"Golden State Warriors",105,"",16121,""
"200011040IND",2000-11-04,"7:00 pm","Chicago Bulls",81,"Indiana Pacers",94,"",18345,""
"200011040LAC",2000-11-04,"10:30 pm","Houston Rockets",74,"Los Angeles Clippers",77,"",10797,""
"200011040MIA",2000-11-04,"7:30 pm","Philadelphia 76ers",84,"Miami Heat",82,"",16029,""
"200011040MIL",2000-11-04,"8:30 pm","Detroit Pistons",88,"Milwaukee Bucks",97,"",18717,""
"200011040MIN",2000-11-04,"8:00 pm","Sacramento Kings",91,"Minnesota Timberwolves",99,"",19006,""
"200011040NJN",2000-11-04,"8:00 pm","Charlotte Hornets",98,"New Jersey Nets",87,"",11522,""
"200011040SEA",2000-11-04,"10:00 pm","Portland Trail Blazers",97,"Seattle SuperSonics",90,"",17072,""
"200011040TOR",2000-11-04,"7:00 pm","Washington Wizards",96,"Toronto Raptors",103,"",18726,""
"200011040VAN",2000-11-04,"3:30 pm","Los Angeles Lakers",98,"Vancouver Grizzlies",89,"",18183,""
"200011050LAL",2000-11-05,"9:30 pm","Los Angeles Clippers",103,"Los Angeles Lakers",108,"",18997,""
"200011050PHO",2000-11-05,"8:00 pm","Houston Rockets",99,"Phoenix Suns",104,"",16735,""
"200011060DEN",2000-11-06,"9:00 pm","Dallas Mavericks",108,"Denver Nuggets",96,"",11190,""
"200011060ORL",2000-11-06,"7:30 pm","Seattle SuperSonics",99,"Orlando Magic",110,"",12460,""
"200011060SAC",2000-11-06,"10:30 pm","Portland Trail Blazers",75,"Sacramento Kings",79,"",17317,""
"200011060UTA",2000-11-06,"9:00 pm","Minnesota Timberwolves",92,"Utah Jazz",98,"",19911,""
"200011060VAN",2000-11-06,"10:00 pm","Atlanta Hawks",87,"Vancouver Grizzlies",97,"",11639,""
"200011070CHI",2000-11-07,"8:30 pm","Washington Wizards",88,"Chicago Bulls",83,"",21312,""
"200011070HOU",2000-11-07,"8:30 pm","Los Angeles Lakers",74,"Houston Rockets",84,"",14473,""
"200011070MIL",2000-11-07,"8:00 pm","New York Knicks",103,"Milwaukee Bucks",89,"",14246,""
"200011070PHO",2000-11-07,"9:00 pm","San Antonio Spurs",81,"Phoenix Suns",100,"",16683,""
"200011070POR",2000-11-07,"10:00 pm","Atlanta Hawks",88,"Portland Trail Blazers",97,"",19980,""
"200011070TOR",2000-11-07,"7:00 pm","Boston Celtics",75,"Toronto Raptors",105,"",17379,""
"200011080DAL",2000-11-08,"8:00 pm","Vancouver Grizzlies",101,"Dallas Mavericks",74,"",11500,""
"200011080DEN",2000-11-08,"9:00 pm","Minnesota Timberwolves",107,"Denver Nuggets",109,"OT",10549,""
"200011080IND",2000-11-08,"7:00 pm","Milwaukee Bucks",97,"Indiana Pacers",108,"",17684,""
"200011080LAC",2000-11-08,"10:30 pm","Utah Jazz",93,"Los Angeles Clippers",87,"OT",10292,""
"200011080MIA",2000-11-08,"7:30 pm","Seattle SuperSonics",81,"Miami Heat",87,"",15083,""
"200011080NYK",2000-11-08,"7:30 pm","Cleveland Cavaliers",99,"New York Knicks",97,"",19763,""
"200011080ORL",2000-11-08,"7:30 pm","Charlotte Hornets",96,"Orlando Magic",90,"",12617,""
"200011080PHI",2000-11-08,"7:00 pm","Detroit Pistons",94,"Philadelphia 76ers",103,"",15986,""
"200011080SAC",2000-11-08,"10:30 pm","Golden State Warriors",84,"Sacramento Kings",115,"",17317,""
"200011080SAS",2000-11-08,"8:00 pm","Los Angeles Lakers",81,"San Antonio Spurs",91,"",26065,""
"200011080WAS",2000-11-08,"7:00 pm","New Jersey Nets",102,"Washington Wizards",86,"",11532,""
"200011090CHH",2000-11-09,"7:30 pm","Seattle SuperSonics",102,"Charlotte Hornets",94,"",17054,""
"200011090CHI",2000-11-09,"8:30 pm","Orlando Magic",90,"Chicago Bulls",95,"",21844,""
"200011090HOU",2000-11-09,"8:30 pm","Vancouver Grizzlies",78,"Houston Rockets",85,"",10906,""
"200011090MIN",2000-11-09,"8:00 pm","Philadelphia 76ers",84,"Minnesota Timberwolves",82,"",16119,""
"200011090NJN",2000-11-09,"7:30 pm","Detroit Pistons",108,"New Jersey Nets",94,"",10000,""
"200011090PHO",2000-11-09,"9:00 pm","Atlanta Hawks",79,"Phoenix Suns",88,"",16792,""
"200011090POR",2000-11-09,"10:00 pm","Denver Nuggets",91,"Portland Trail Blazers",107,"",19996,""
"200011100BOS",2000-11-10,"7:30 pm","New York Knicks",103,"Boston Celtics",101,"OT",18624,""
"200011100DAL",2000-11-10,"8:00 pm","San Antonio Spurs",77,"Dallas Mavericks",79,"",17296,""
"200011100GSW",2000-11-10,"10:30 pm","Sacramento Kings",114,"Golden State Warriors",107,"OT",17467,""
"200011100LAC",2000-11-10,"10:30 pm","Atlanta Hawks",106,"Los Angeles Clippers",115,"",10396,""
"200011100TOR",2000-11-10,"7:00 pm","Cleveland Cavaliers",88,"Toronto Raptors",115,"",19800,""
"200011100UTA",2000-11-10,"9:00 pm","Miami Heat",87,"Utah Jazz",80,"",19093,""
"200011100WAS",2000-11-10,"7:00 pm","Indiana Pacers",86,"Washington Wizards",74,"",19955,""
"200011110CHI",2000-11-11,"8:30 pm","Toronto Raptors",98,"Chicago Bulls",75,"",22387,""
"200011110CLE",2000-11-11,"7:30 pm","Washington Wizards",73,"Cleveland Cavaliers",86,"",17336,""
"200011110IND",2000-11-11,"7:00 pm","Detroit Pistons",84,"Indiana Pacers",94,"",18345,""
"200011110MIL",2000-11-11,"8:30 pm","Minnesota Timberwolves",103,"Milwaukee Bucks",92,"",18717,""
"200011110NJN",2000-11-11,"1:00 pm","Seattle SuperSonics",91,"New Jersey Nets",126,"",14443,""
"200011110NYK",2000-11-11,"7:30 pm","Charlotte Hornets",67,"New York Knicks",81,"",19763,""
"200011110PHI",2000-11-11,"8:00 pm","Boston Celtics",83,"Philadelphia 76ers",85,"",19258,""
"200011110PHO",2000-11-11,"9:00 pm","Miami Heat",82,"Phoenix Suns",84,"",18120,""
"200011110POR",2000-11-11,"10:00 pm","Houston Rockets",88,"Portland Trail Blazers",111,"",19992,""
"200011110SAS",2000-11-11,"8:30 pm","Vancouver Grizzlies",78,"San Antonio Spurs",91,"",18556,""
"200011120DEN",2000-11-12,"9:00 pm","Los Angeles Clippers",79,"Denver Nuggets",95,"",10842,""
"200011120DET",2000-11-12,"6:00 pm","Seattle SuperSonics",92,"Detroit Pistons",101,"",14289,""
"200011120GSW",2000-11-12,"9:00 pm","Orlando Magic",105,"Golden State Warriors",99,"OT",13626,""
"200011120LAL",2000-11-12,"9:30 pm","Houston Rockets",99,"Los Angeles Lakers",105,"",18997,""
"200011120SAC",2000-11-12,"9:00 pm","Dallas Mavericks",84,"Sacramento Kings",109,"",17317,""
"200011130LAC",2000-11-13,"10:30 pm","Dallas Mavericks",90,"Los Angeles Clippers",76,"",9340,""
"200011130NJN",2000-11-13,"7:30 pm","Portland Trail Blazers",94,"New Jersey Nets",82,"",10704,""
"200011140ATL",2000-11-14,"7:30 pm","Portland Trail Blazers",97,"Atlanta Hawks",99,"",12610,""
"200011140CLE",2000-11-14,"7:30 pm","Golden State Warriors",86,"Cleveland Cavaliers",96,"",13691,""
"200011140HOU",2000-11-14,"8:30 pm","Chicago Bulls",83,"Houston Rockets",110,"",11724,""
"200011140LAL",2000-11-14,"10:30 pm","Denver Nuggets",103,"Los Angeles Lakers",119,"",18997,""
"200011140MIA",2000-11-14,"7:30 pm","Charlotte Hornets",86,"Miami Heat",89,"OT",14983,""
"200011140SAC",2000-11-14,"8:00 pm","Orlando Magic",82,"Sacramento Kings",96,"",17317,""
"200011140SAS",2000-11-14,"8:30 pm","Utah Jazz",79,"San Antonio Spurs",86,"",18053,""
"200011140SEA",2000-11-14,"10:30 pm","New York Knicks",75,"Seattle SuperSonics",96,"",17072,""
"200011150BOS",2000-11-15,"7:00 pm","Washington Wizards",109,"Boston Celtics",116,"",13915,""
"200011150DET",2000-11-15,"7:30 pm","Indiana Pacers",92,"Detroit Pistons",88,"",14350,""
"200011150LAC",2000-11-15,"10:30 pm","New York Knicks",74,"Los Angeles Clippers",78,"",12516,""
"200011150MIL",2000-11-15,"8:00 pm","Atlanta Hawks",74,"Milwaukee Bucks",84,"",13217,""
