"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196010190CIN",1960-10-19,"Los Angeles Lakers",123,"Cincinnati Royals",140,"",NA,""
"196010200NYK",1960-10-20,"Cincinnati Royals",113,"New York Knicks",105,"",NA,""
"196010220BOS",1960-10-22,"Detroit Pistons",116,"Boston Celtics",118,"",NA,""
"196010220CIN",1960-10-22,"New York Knicks",117,"Cincinnati Royals",119,"",NA,""
"196010220STL",1960-10-22,"Los Angeles Lakers",96,"St. Louis Hawks",112,"",NA,""
"196010220SYR",1960-10-22,"Philadelphia Warriors",133,"Syracuse Nationals",123,"",NA,""
"196010230CIN",1960-10-23,"St. Louis Hawks",103,"Cincinnati Royals",114,"",NA,""
"196010240LAL",1960-10-24,"New York Knicks",111,"Los Angeles Lakers",101,"",NA,""
"196010250LAL",1960-10-25,"New York Knicks",118,"Los Angeles Lakers",120,"",NA,""
"196010250STL",1960-10-25,"Syracuse Nationals",100,"St. Louis Hawks",123,"",NA,""
"196010260DET",1960-10-26,"Cincinnati Royals",117,"Detroit Pistons",131,"",NA,""
"196010270CIN",1960-10-27,"Syracuse Nationals",140,"Cincinnati Royals",143,"OT",NA,""
"196010280NYK",1960-10-28,"Boston Celtics",110,"New York Knicks",101,"",NA,""
"196010280PHW",1960-10-28,"Los Angeles Lakers",120,"Philadelphia Warriors",122,"",NA,""
"196010290BOS",1960-10-29,"Philadelphia Warriors",131,"Boston Celtics",103,"",NA,""
"196010290DET",1960-10-29,"New York Knicks",110,"Detroit Pistons",115,"",NA,""
"196010290STL",1960-10-29,"Cincinnati Royals",97,"St. Louis Hawks",113,"",NA,""
"196010290SYR",1960-10-29,"Los Angeles Lakers",118,"Syracuse Nationals",125,"",NA,""
"196011010CIN",1960-11-01,"Philadelphia Warriors",131,"Cincinnati Royals",113,"",NA,""
"196011020DET",1960-11-02,"St. Louis Hawks",132,"Detroit Pistons",117,"",NA,""
"196011020LAL",1960-11-02,"New York Knicks",96,"Los Angeles Lakers",106,"",NA,"at Detroit, MI"
"196011040PHW",1960-11-04,"Detroit Pistons",121,"Philadelphia Warriors",136,"",NA,""
"196011050BOS",1960-11-05,"Cincinnati Royals",113,"Boston Celtics",104,"",NA,""
"196011050DET",1960-11-05,"Philadelphia Warriors",130,"Detroit Pistons",123,"",NA,"at Boston, MA"
"196011050LAL",1960-11-05,"Syracuse Nationals",110,"Los Angeles Lakers",112,"",NA,""
"196011050STL",1960-11-05,"New York Knicks",104,"St. Louis Hawks",119,"",NA,""
"196011060LAL",1960-11-06,"Syracuse Nationals",113,"Los Angeles Lakers",119,"",NA,"at San Francisco, CA"
"196011080CIN",1960-11-08,"Boston Celtics",136,"Cincinnati Royals",120,"",NA,""
"196011090LAL",1960-11-09,"Philadelphia Warriors",125,"Los Angeles Lakers",118,"",NA,"at St. Louis, MO"
"196011090STL",1960-11-09,"Detroit Pistons",120,"St. Louis Hawks",126,"",NA,""
"196011100NYK",1960-11-10,"Philadelphia Warriors",116,"New York Knicks",112,"OT",NA,""
"196011110BOS",1960-11-11,"Cincinnati Royals",110,"Boston Celtics",128,"",NA,"at New York, NY"
"196011110NYK",1960-11-11,"Syracuse Nationals",108,"New York Knicks",112,"",NA,""
"196011110PHW",1960-11-11,"St. Louis Hawks",112,"Philadelphia Warriors",117,"",NA,""
"196011120BOS",1960-11-12,"Los Angeles Lakers",124,"Boston Celtics",131,"",NA,"at Providence, RI"
"196011120DET",1960-11-12,"Cincinnati Royals",112,"Detroit Pistons",116,"",NA,""
"196011120STL",1960-11-12,"Philadelphia Warriors",105,"St. Louis Hawks",107,"",NA,""
"196011120SYR",1960-11-12,"New York Knicks",117,"Syracuse Nationals",128,"",NA,""
"196011130CIN",1960-11-13,"Detroit Pistons",125,"Cincinnati Royals",113,"",NA,""
"196011150BOS",1960-11-15,"Detroit Pistons",115,"Boston Celtics",114,"OT",NA,"at New York, NY"
"196011150CIN",1960-11-15,"Philadelphia Warriors",115,"Cincinnati Royals",124,"",NA,""
"196011150NYK",1960-11-15,"Los Angeles Lakers",123,"New York Knicks",108,"",NA,""
"196011160BOS",1960-11-16,"St. Louis Hawks",106,"Boston Celtics",124,"",NA,""
"196011160DET",1960-11-16,"Philadelphia Warriors",118,"Detroit Pistons",119,"",NA,""
"196011160SYR",1960-11-16,"Cincinnati Royals",87,"Syracuse Nationals",124,"",NA,""
"196011170DET",1960-11-17,"St. Louis Hawks",112,"Detroit Pistons",105,"",NA,"at Philadelphia, PA"
"196011170PHW",1960-11-17,"Syracuse Nationals",106,"Philadelphia Warriors",105,"",NA,""
"196011180CIN",1960-11-18,"St. Louis Hawks",128,"Cincinnati Royals",129,"OT",NA,""
"196011180NYK",1960-11-18,"Philadelphia Warriors",101,"New York Knicks",99,"",NA,""
"196011190LAL",1960-11-19,"Detroit Pistons",122,"Los Angeles Lakers",130,"",NA,""
"196011190PHW",1960-11-19,"New York Knicks",111,"Philadelphia Warriors",121,"",NA,""
"196011190STL",1960-11-19,"Cincinnati Royals",120,"St. Louis Hawks",121,"",NA,""
"196011190SYR",1960-11-19,"Boston Celtics",114,"Syracuse Nationals",94,"",NA,""
"196011200CIN",1960-11-20,"Boston Celtics",120,"Cincinnati Royals",103,"",NA,""
"196011200DET",1960-11-20,"Los Angeles Lakers",135,"Detroit Pistons",131,"",NA,"at San Francisco, CA"
