"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196210160DET",1962-10-16,"Los Angeles Lakers",122,"Detroit Pistons",106,"",NA,"at New York, NY"
"196210160NYK",1962-10-16,"Chicago Zephyrs",119,"New York Knicks",121,"",NA,""
"196210190NYK",1962-10-19,"Los Angeles Lakers",105,"New York Knicks",116,"",NA,""
"196210200BOS",1962-10-20,"New York Knicks",116,"Boston Celtics",149,"",NA,""
"196210200CHZ",1962-10-20,"Cincinnati Royals",109,"Chicago Zephyrs",113,"",NA,""
"196210200STL",1962-10-20,"Detroit Pistons",111,"St. Louis Hawks",120,"",NA,""
"196210200SYR",1962-10-20,"Los Angeles Lakers",102,"Syracuse Nationals",108,"",NA,""
"196210230CHZ",1962-10-23,"St. Louis Hawks",110,"Chicago Zephyrs",109,"",NA,"at New York, NY"
"196210230CIN",1962-10-23,"Los Angeles Lakers",115,"Cincinnati Royals",116,"",NA,""
"196210230NYK",1962-10-23,"Syracuse Nationals",123,"New York Knicks",119,"",NA,""
"196210230SFW",1962-10-23,"Detroit Pistons",113,"San Francisco Warriors",140,"",NA,""
"196210240CHZ",1962-10-24,"Los Angeles Lakers",107,"Chicago Zephyrs",118,"",NA,""
"196210240STL",1962-10-24,"Cincinnati Royals",114,"St. Louis Hawks",121,"",NA,""
"196210260CIN",1962-10-26,"St. Louis Hawks",102,"Cincinnati Royals",118,"",NA,""
"196210260NYK",1962-10-26,"Boston Celtics",133,"New York Knicks",108,"",NA,""
"196210260SFW",1962-10-26,"Detroit Pistons",131,"San Francisco Warriors",132,"OT",NA,""
"196210260SYR",1962-10-26,"Chicago Zephyrs",112,"Syracuse Nationals",130,"",NA,""
"196210270BOS",1962-10-27,"Syracuse Nationals",98,"Boston Celtics",118,"",NA,"Dolph Schayes of Syracuse scored a field goal for Boston"
"196210270CHZ",1962-10-27,"San Francisco Warriors",129,"Chicago Zephyrs",126,"OT",NA,""
"196210270LAL",1962-10-27,"Detroit Pistons",118,"Los Angeles Lakers",134,"",NA,""
"196210270STL",1962-10-27,"New York Knicks",109,"St. Louis Hawks",115,"",NA,""
"196210280CIN",1962-10-28,"San Francisco Warriors",130,"Cincinnati Royals",131,"OT",NA,""
"196210300SFW",1962-10-30,"New York Knicks",106,"San Francisco Warriors",125,"",NA,""
"196210300STL",1962-10-30,"Boston Celtics",97,"St. Louis Hawks",98,"",NA,""
"196210310DET",1962-10-31,"Boston Celtics",115,"Detroit Pistons",100,"",NA,""
"196210310LAL",1962-10-31,"New York Knicks",95,"Los Angeles Lakers",115,"",NA,""
"196210310STL",1962-10-31,"Syracuse Nationals",126,"St. Louis Hawks",108,"",NA,"at Baltimore, MD"
"196211020CHZ",1962-11-02,"Boston Celtics",107,"Chicago Zephyrs",97,"",NA,""
"196211020SFW",1962-11-02,"New York Knicks",121,"San Francisco Warriors",143,"",NA,""
"196211030BOS",1962-11-03,"Detroit Pistons",114,"Boston Celtics",125,"",NA,""
"196211030LAL",1962-11-03,"San Francisco Warriors",115,"Los Angeles Lakers",127,"",NA,""
"196211030STL",1962-11-03,"Chicago Zephyrs",109,"St. Louis Hawks",114,"",NA,""
"196211030SYR",1962-11-03,"Cincinnati Royals",111,"Syracuse Nationals",130,"",NA,""
"196211040LAL",1962-11-04,"New York Knicks",106,"Los Angeles Lakers",125,"",NA,""
"196211070CIN",1962-11-07,"Boston Celtics",106,"Cincinnati Royals",105,"",NA,""
"196211070SFW",1962-11-07,"Los Angeles Lakers",132,"San Francisco Warriors",108,"",NA,""
"196211070STL",1962-11-07,"New York Knicks",122,"St. Louis Hawks",112,"",NA,""
"196211080DET",1962-11-08,"Cincinnati Royals",114,"Detroit Pistons",116,"",NA,""
"196211090BOS",1962-11-09,"Los Angeles Lakers",133,"Boston Celtics",120,"",NA,""
"196211090NYK",1962-11-09,"Cincinnati Royals",122,"New York Knicks",119,"",NA,""
"196211090SFW",1962-11-09,"Chicago Zephyrs",126,"San Francisco Warriors",134,"",NA,""
"196211090SYR",1962-11-09,"St. Louis Hawks",93,"Syracuse Nationals",101,"",NA,""
"196211100CIN",1962-11-10,"Detroit Pistons",124,"Cincinnati Royals",135,"",NA,""
"196211100SFW",1962-11-10,"Chicago Zephyrs",108,"San Francisco Warriors",113,"",NA,""
"196211100STL",1962-11-10,"Los Angeles Lakers",96,"St. Louis Hawks",97,"",NA,""
"196211110BOS",1962-11-11,"New York Knicks",98,"Boston Celtics",117,"",NA,"at St. Louis, MO"
"196211110LAL",1962-11-11,"Chicago Zephyrs",109,"Los Angeles Lakers",105,"OT",NA,""
"196211110STL",1962-11-11,"Detroit Pistons",100,"St. Louis Hawks",117,"",NA,""
"196211120BOS",1962-11-12,"Cincinnati Royals",126,"Boston Celtics",137,"",NA,""
"196211130CIN",1962-11-13,"Detroit Pistons",109,"Cincinnati Royals",127,"",NA,"at New York, NY"
"196211130LAL",1962-11-13,"Chicago Zephyrs",84,"Los Angeles Lakers",107,"",NA,""
"196211130NYK",1962-11-13,"Boston Celtics",116,"New York Knicks",102,"",NA,""
"196211130STL",1962-11-13,"San Francisco Warriors",100,"St. Louis Hawks",132,"",NA,""
"196211140CIN",1962-11-14,"Syracuse Nationals",120,"Cincinnati Royals",125,"",NA,""
"196211140DET",1962-11-14,"San Francisco Warriors",115,"Detroit Pistons",123,"",NA,""
"196211150CHZ",1962-11-15,"New York Knicks",92,"Chicago Zephyrs",95,"",NA,""
"196211150LAL",1962-11-15,"Syracuse Nationals",120,"Los Angeles Lakers",98,"",NA,"at Baltimore, MD"
"196211160CIN",1962-11-16,"St. Louis Hawks",111,"Cincinnati Royals",120,"",NA,""
"196211160NYK",1962-11-16,"San Francisco Warriors",127,"New York Knicks",111,"",NA,""
"196211160SYR",1962-11-16,"Boston Celtics",105,"Syracuse Nationals",113,"",NA,""
"196211170BOS",1962-11-17,"San Francisco Warriors",109,"Boston Celtics",127,"",NA,""
"196211170CHZ",1962-11-17,"Los Angeles Lakers",110,"Chicago Zephyrs",109,"",NA,""
"196211170DET",1962-11-17,"New York Knicks",113,"Detroit Pistons",121,"OT",NA,"at Boston, MA"
"196211170STL",1962-11-17,"Syracuse Nationals",107,"St. Louis Hawks",113,"",NA,""
"196211180CHZ",1962-11-18,"Syracuse Nationals",110,"Chicago Zephyrs",107,"",NA,"at Detroit, MI"
"196211180CIN",1962-11-18,"San Francisco Warriors",120,"Cincinnati Royals",132,"",NA,""
"196211180DET",1962-11-18,"Los Angeles Lakers",116,"Detroit Pistons",98,"",NA,""
"196211200BOS",1962-11-20,"Chicago Zephyrs",106,"Boston Celtics",113,"",NA,"at New York, NY"
"196211200NYK",1962-11-20,"St. Louis Hawks",95,"New York Knicks",103,"",NA,""
"196211210BOS",1962-11-21,"St. Louis Hawks",106,"Boston Celtics",115,"",NA,""
"196211210CHZ",1962-11-21,"New York Knicks",137,"Chicago Zephyrs",108,"",NA,"at Boston, MA"
