"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"197810130BOS",1978-10-13,"Cleveland Cavaliers",115,"Boston Celtics",101,"",NA,""
"197810130DEN",1978-10-13,"San Antonio Spurs",117,"Denver Nuggets",118,"",NA,""
"197810130DET",1978-10-13,"New Jersey Nets",107,"Detroit Pistons",105,"",NA,""
"197810130IND",1978-10-13,"Atlanta Hawks",104,"Indiana Pacers",117,"",NA,""
"197810130NYK",1978-10-13,"Houston Rockets",111,"New York Knicks",107,"",NA,""
"197810130PHI",1978-10-13,"Los Angeles Lakers",102,"Philadelphia 76ers",110,"",NA,""
"197810130PHO",1978-10-13,"San Diego Clippers",114,"Phoenix Suns",128,"",NA,""
"197810130SEA",1978-10-13,"Chicago Bulls",86,"Seattle SuperSonics",104,"",NA,""
"197810130WSB",1978-10-13,"New Orleans Jazz",101,"Washington Bullets",117,"",NA,""
"197810140ATL",1978-10-14,"Detroit Pistons",114,"Atlanta Hawks",122,"",NA,""
"197810140BOS",1978-10-14,"Houston Rockets",114,"Boston Celtics",108,"",NA,""
"197810140GSW",1978-10-14,"San Diego Clippers",89,"Golden State Warriors",117,"",NA,""
"197810140NJN",1978-10-14,"Los Angeles Lakers",100,"New Jersey Nets",102,"",NA,""
"197810140SAS",1978-10-14,"Milwaukee Bucks",111,"San Antonio Spurs",153,"",NA,""
"197810150NOJ",1978-10-15,"Milwaukee Bucks",123,"New Orleans Jazz",112,"",NA,""
"197810150PHO",1978-10-15,"Golden State Warriors",110,"Phoenix Suns",129,"",NA,""
"197810150POR",1978-10-15,"Chicago Bulls",108,"Portland Trail Blazers",97,"",NA,""
"197810150SDC",1978-10-15,"Denver Nuggets",98,"San Diego Clippers",94,"",NA,""
"197810150SEA",1978-10-15,"Kansas City Kings",105,"Seattle SuperSonics",115,"",NA,""
"197810170CLE",1978-10-17,"Los Angeles Lakers",111,"Cleveland Cavaliers",113,"",NA,""
"197810170NOJ",1978-10-17,"Detroit Pistons",109,"New Orleans Jazz",114,"",NA,""
"197810170NYK",1978-10-17,"Seattle SuperSonics",120,"New York Knicks",109,"",NA,""
"197810170PHO",1978-10-17,"San Antonio Spurs",110,"Phoenix Suns",107,"",NA,""
"197810170POR",1978-10-17,"Kansas City Kings",112,"Portland Trail Blazers",115,"",NA,""
"197810170SDC",1978-10-17,"Chicago Bulls",94,"San Diego Clippers",99,"",NA,""
"197810170WSB",1978-10-17,"New Jersey Nets",109,"Washington Bullets",113,"",NA,""
"197810180ATL",1978-10-18,"Boston Celtics",116,"Atlanta Hawks",99,"",NA,""
"197810180DEN",1978-10-18,"Portland Trail Blazers",113,"Denver Nuggets",125,"",NA,""
"197810180GSW",1978-10-18,"Phoenix Suns",122,"Golden State Warriors",112,"",NA,""
"197810180HOU",1978-10-18,"New Jersey Nets",87,"Houston Rockets",139,"",NA,""
"197810180IND",1978-10-18,"Seattle SuperSonics",99,"Indiana Pacers",92,"",NA,""
"197810180PHI",1978-10-18,"Washington Bullets",121,"Philadelphia 76ers",111,"",NA,""
"197810180SDC",1978-10-18,"San Antonio Spurs",127,"San Diego Clippers",125,"",NA,""
"197810190KCK",1978-10-19,"Houston Rockets",103,"Kansas City Kings",108,"",NA,""
"197810190NOJ",1978-10-19,"Boston Celtics",115,"New Orleans Jazz",120,"",NA,""
"197810200CHI",1978-10-20,"San Diego Clippers",110,"Chicago Bulls",94,"",NA,""
"197810200DET",1978-10-20,"Philadelphia 76ers",126,"Detroit Pistons",117,"",NA,""
