"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196810150NYK",1968-10-15,"Chicago Bulls",100,"New York Knicks",96,"",NA,""
"196810160ATL",1968-10-16,"Cincinnati Royals",125,"Atlanta Hawks",110,"",NA,""
"196810160BAL",1968-10-16,"Detroit Pistons",116,"Baltimore Bullets",124,"",NA,""
"196810160MIL",1968-10-16,"Chicago Bulls",89,"Milwaukee Bucks",84,"",NA,""
"196810170SDR",1968-10-17,"Seattle SuperSonics",110,"San Diego Rockets",128,"",NA,""
"196810180DET",1968-10-18,"Boston Celtics",106,"Detroit Pistons",88,"",NA,""
"196810180PHI",1968-10-18,"Los Angeles Lakers",96,"Philadelphia 76ers",114,"",NA,""
"196810180PHO",1968-10-18,"Seattle SuperSonics",107,"Phoenix Suns",116,"",NA,""
"196810180SFW",1968-10-18,"San Diego Rockets",123,"San Francisco Warriors",108,"",NA,""
"196810190ATL",1968-10-19,"Milwaukee Bucks",107,"Atlanta Hawks",125,"",NA,""
"196810190BAL",1968-10-19,"Philadelphia 76ers",124,"Baltimore Bullets",121,"",NA,""
"196810190CHI",1968-10-19,"Boston Celtics",106,"Chicago Bulls",96,"",NA,""
"196810190CIN",1968-10-19,"Detroit Pistons",115,"Cincinnati Royals",127,"",NA,""
"196810190NYK",1968-10-19,"Los Angeles Lakers",118,"New York Knicks",96,"",NA,""
"196810190SEA",1968-10-19,"San Francisco Warriors",107,"Seattle SuperSonics",95,"",NA,""
"196810200PHO",1968-10-20,"Baltimore Bullets",134,"Phoenix Suns",122,"",NA,""
"196810210BAL",1968-10-21,"Seattle SuperSonics",104,"Baltimore Bullets",111,"",NA,"at Vancouver, Canada"
"196810220CIN",1968-10-22,"Los Angeles Lakers",103,"Cincinnati Royals",107,"",NA,""
"196810220NYK",1968-10-22,"Philadelphia 76ers",114,"New York Knicks",117,"",NA,""
"196810220SFW",1968-10-22,"Phoenix Suns",101,"San Francisco Warriors",109,"",NA,""
"196810230ATL",1968-10-23,"Chicago Bulls",91,"Atlanta Hawks",106,"",NA,""
"196810230BOS",1968-10-23,"Cincinnati Royals",101,"Boston Celtics",108,"",NA,""
"196810230DET",1968-10-23,"Los Angeles Lakers",110,"Detroit Pistons",117,"",NA,""
"196810230MIL",1968-10-23,"New York Knicks",114,"Milwaukee Bucks",112,"",NA,""
"196810230SEA",1968-10-23,"San Diego Rockets",117,"Seattle SuperSonics",118,"",NA,""
"196810240PHO",1968-10-24,"New York Knicks",92,"Phoenix Suns",109,"",NA,""
"196810240SDR",1968-10-24,"Baltimore Bullets",119,"San Diego Rockets",115,"",NA,""
"196810250DET",1968-10-25,"Philadelphia 76ers",122,"Detroit Pistons",132,"",NA,""
"196810250LAL",1968-10-25,"Baltimore Bullets",111,"Los Angeles Lakers",117,"",NA,""
"196810250SEA",1968-10-25,"Atlanta Hawks",112,"Seattle SuperSonics",123,"",NA,""
"196810260BOS",1968-10-26,"Milwaukee Bucks",89,"Boston Celtics",102,"",NA,""
"196810260NYK",1968-10-26,"Cincinnati Royals",92,"New York Knicks",98,"",NA,""
"196810260PHI",1968-10-26,"Chicago Bulls",118,"Philadelphia 76ers",122,"",NA,""
"196810260SFW",1968-10-26,"Baltimore Bullets",106,"San Francisco Warriors",107,"",NA,""
"196810270LAL",1968-10-27,"San Diego Rockets",116,"Los Angeles Lakers",152,"",NA,""
"196810270PHO",1968-10-27,"Atlanta Hawks",123,"Phoenix Suns",100,"",NA,""
