"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"195910170BOS",1959-10-17,"Cincinnati Royals",125,"Boston Celtics",129,"",NA,""
"195910180MNL",1959-10-18,"Detroit Pistons",106,"Minneapolis Lakers",105,"",NA,""
"195910240CIN",1959-10-24,"Detroit Pistons",103,"Cincinnati Royals",108,"",NA,""
"195910240NYK",1959-10-24,"Philadelphia Warriors",118,"New York Knicks",109,"",NA,""
"195910240STL",1959-10-24,"Minneapolis Lakers",94,"St. Louis Hawks",87,"",NA,""
"195910240SYR",1959-10-24,"Boston Celtics",121,"Syracuse Nationals",109,"",NA,""
"195910250CIN",1959-10-25,"Minneapolis Lakers",102,"Cincinnati Royals",103,"",NA,""
"195910280DET",1959-10-28,"Syracuse Nationals",102,"Detroit Pistons",117,"",NA,""
"195910300CIN",1959-10-30,"Syracuse Nationals",136,"Cincinnati Royals",127,"",NA,""
"195910310NYK",1959-10-31,"Boston Celtics",123,"New York Knicks",109,"",NA,""
"195910310PHW",1959-10-31,"Detroit Pistons",112,"Philadelphia Warriors",120,"",NA,""
"195910310STL",1959-10-31,"Cincinnati Royals",102,"St. Louis Hawks",109,"",NA,""
"195910310SYR",1959-10-31,"Minneapolis Lakers",108,"Syracuse Nationals",117,"",NA,""
"195911010CIN",1959-11-01,"Boston Celtics",124,"Cincinnati Royals",109,"",NA,""
"195911010MNL",1959-11-01,"St. Louis Hawks",138,"Minneapolis Lakers",101,"",NA,""
"195911030MNL",1959-11-03,"New York Knicks",99,"Minneapolis Lakers",93,"",NA,"at St. Louis, MO"
"195911030STL",1959-11-03,"Boston Celtics",103,"St. Louis Hawks",98,"",NA,""
"195911040DET",1959-11-04,"New York Knicks",107,"Detroit Pistons",101,"",NA,""
"195911040PHW",1959-11-04,"Syracuse Nationals",113,"Philadelphia Warriors",124,"",NA,""
"195911060MNL",1959-11-06,"Detroit Pistons",118,"Minneapolis Lakers",113,"2OT",NA,""
"195911070BOS",1959-11-07,"Philadelphia Warriors",106,"Boston Celtics",115,"",NA,""
"195911070CIN",1959-11-07,"Syracuse Nationals",101,"Cincinnati Royals",103,"",NA,"at Rochester, NY"
"195911070DET",1959-11-07,"Minneapolis Lakers",113,"Detroit Pistons",111,"OT",NA,""
"195911070STL",1959-11-07,"New York Knicks",113,"St. Louis Hawks",117,"",NA,""
"195911080MNL",1959-11-08,"Boston Celtics",115,"Minneapolis Lakers",136,"",NA,""
"195911080PHW",1959-11-08,"Cincinnati Royals",106,"Philadelphia Warriors",134,"",NA,""
"195911080SYR",1959-11-08,"Detroit Pistons",107,"Syracuse Nationals",118,"",NA,""
