"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"195111010ROC",1951-11-01,"Baltimore Bullets",97,"Rochester Royals",101,"",NA,""
"195111010SYR",1951-11-01,"Fort Wayne Pistons",75,"Syracuse Nationals",90,"",NA,""
"195111030BLB",1951-11-03,"Indianapolis Olympians",90,"Baltimore Bullets",86,"",NA,""
"195111030MLH",1951-11-03,"New York Knicks",68,"Milwaukee Hawks",66,"",NA,""
"195111030PHW",1951-11-03,"Fort Wayne Pistons",69,"Philadelphia Warriors",70,"",NA,""
"195111030ROC",1951-11-03,"Minneapolis Lakers",93,"Rochester Royals",74,"",NA,""
"195111040BOS",1951-11-04,"Indianapolis Olympians",65,"Boston Celtics",97,"",NA,""
"195111040FTW",1951-11-04,"New York Knicks",75,"Fort Wayne Pistons",84,"",NA,""
"195111040SYR",1951-11-04,"Minneapolis Lakers",67,"Syracuse Nationals",98,"",NA,""
"195111050BLB",1951-11-05,"Philadelphia Warriors",90,"Baltimore Bullets",96,"",NA,""
"195111060INO",1951-11-06,"New York Knicks",83,"Indianapolis Olympians",73,"",NA,""
"195111060MLH",1951-11-06,"Fort Wayne Pistons",62,"Milwaukee Hawks",65,"OT",NA,""
"195111090INO",1951-11-09,"Fort Wayne Pistons",77,"Indianapolis Olympians",92,"",NA,""
"195111090PHW",1951-11-09,"Minneapolis Lakers",86,"Philadelphia Warriors",98,"",NA,""
"195111100BLB",1951-11-10,"Syracuse Nationals",82,"Baltimore Bullets",91,"",NA,""
"195111100BOS",1951-11-10,"Philadelphia Warriors",69,"Boston Celtics",83,"",NA,"at New York, NY"
"195111100NYK",1951-11-10,"Minneapolis Lakers",89,"New York Knicks",73,"",NA,""
"195111100ROC",1951-11-10,"Indianapolis Olympians",89,"Rochester Royals",100,"",NA,""
"195111110BOS",1951-11-11,"Minneapolis Lakers",72,"Boston Celtics",77,"",NA,""
"195111110FTW",1951-11-11,"Milwaukee Hawks",59,"Fort Wayne Pistons",74,"",NA,""
"195111110ROC",1951-11-11,"New York Knicks",78,"Rochester Royals",80,"",NA,""
"195111110SYR",1951-11-11,"Indianapolis Olympians",79,"Syracuse Nationals",93,"",NA,""
"195111120BLB",1951-11-12,"Minneapolis Lakers",90,"Baltimore Bullets",80,"",NA,""
"195111130INO",1951-11-13,"Minneapolis Lakers",77,"Indianapolis Olympians",71,"",NA,""
"195111130MLH",1951-11-13,"Rochester Royals",91,"Milwaukee Hawks",75,"",NA,""
"195111130PHW",1951-11-13,"New York Knicks",85,"Philadelphia Warriors",82,"",NA,""
"195111140BOS",1951-11-14,"Fort Wayne Pistons",91,"Boston Celtics",98,"OT",NA,""
"195111150SYR",1951-11-15,"Boston Celtics",95,"Syracuse Nationals",97,"",NA,""
"195111160INO",1951-11-16,"Milwaukee Hawks",78,"Indianapolis Olympians",68,"",NA,""
"195111160PHW",1951-11-16,"Syracuse Nationals",97,"Philadelphia Warriors",90,"",NA,""
"195111170BLB",1951-11-17,"Boston Celtics",88,"Baltimore Bullets",75,"",NA,""
"195111170INO",1951-11-17,"Milwaukee Hawks",58,"Indianapolis Olympians",68,"",NA,"at Moline, IL"
"195111170MNL",1951-11-17,"Fort Wayne Pistons",64,"Minneapolis Lakers",68,"OT",NA,""
"195111170NYK",1951-11-17,"Syracuse Nationals",79,"New York Knicks",72,"",NA,""
"195111170ROC",1951-11-17,"Philadelphia Warriors",72,"Rochester Royals",86,"",NA,""
"195111180BOS",1951-11-18,"New York Knicks",93,"Boston Celtics",92,"",NA,""
"195111180FTW",1951-11-18,"Rochester Royals",76,"Fort Wayne Pistons",71,"OT",NA,""
"195111180SYR",1951-11-18,"Baltimore Bullets",68,"Syracuse Nationals",71,"",NA,""
"195111190BLB",1951-11-19,"Milwaukee Hawks",70,"Baltimore Bullets",71,"",NA,""
"195111200BLB",1951-11-20,"New York Knicks",88,"Baltimore Bullets",86,"",NA,"at Philadelphia, PA"
"195111200INO",1951-11-20,"Rochester Royals",65,"Indianapolis Olympians",69,"2OT",NA,""
"195111200PHW",1951-11-20,"Milwaukee Hawks",64,"Philadelphia Warriors",80,"",NA,""
"195111220BOS",1951-11-22,"Milwaukee Hawks",72,"Boston Celtics",103,"",NA,""
"195111220FTW",1951-11-22,"Syracuse Nationals",96,"Fort Wayne Pistons",72,"",NA,""
"195111220MNL",1951-11-22,"Rochester Royals",65,"Minneapolis Lakers",70,"2OT",NA,""
"195111220NYK",1951-11-22,"Philadelphia Warriors",88,"New York Knicks",102,"",NA,""
"195111230INO",1951-11-23,"Syracuse Nationals",68,"Indianapolis Olympians",82,"",NA,""
"195111230PHW",1951-11-23,"Boston Celtics",102,"Philadelphia Warriors",100,"OT",NA,""
"195111240BLB",1951-11-24,"Philadelphia Warriors",74,"Baltimore Bullets",81,"",NA,""
"195111240MLH",1951-11-24,"Minneapolis Lakers",72,"Milwaukee Hawks",59,"",NA,""
"195111240NYK",1951-11-24,"Boston Celtics",70,"New York Knicks",68,"",NA,""
"195111240ROC",1951-11-24,"Fort Wayne Pistons",63,"Rochester Royals",74,"",NA,""
"195111250BOS",1951-11-25,"Philadelphia Warriors",85,"Boston Celtics",103,"",NA,""
"195111250FTW",1951-11-25,"Baltimore Bullets",66,"Fort Wayne Pistons",83,"",NA,""
"195111250MLH",1951-11-25,"Rochester Royals",73,"Milwaukee Hawks",75,"",NA,""
"195111250MNL",1951-11-25,"Indianapolis Olympians",73,"Minneapolis Lakers",82,"",NA,""
"195111250SYR",1951-11-25,"New York Knicks",73,"Syracuse Nationals",100,"",NA,""
"195111270PHW",1951-11-27,"New York Knicks",81,"Philadelphia Warriors",83,"",NA,""
"195111270ROC",1951-11-27,"Milwaukee Hawks",73,"Rochester Royals",77,"",NA,""
"195111280MNL",1951-11-28,"Boston Celtics",76,"Minneapolis Lakers",90,"",NA,""
"195111290BLB",1951-11-29,"Milwaukee Hawks",64,"Baltimore Bullets",77,"",NA,"at New York, NY"
"195111290NYK",1951-11-29,"Rochester Royals",78,"New York Knicks",74,"",NA,""
"195111290SYR",1951-11-29,"Fort Wayne Pistons",78,"Syracuse Nationals",82,"",NA,""
"195111300INO",1951-11-30,"Boston Celtics",87,"Indianapolis Olympians",92,"",NA,""
"195111300PHW",1951-11-30,"Syracuse Nationals",75,"Philadelphia Warriors",82,"",NA,""
"195112010BLB",1951-12-01,"New York Knicks",82,"Baltimore Bullets",84,"",NA,""
"195112010MNL",1951-12-01,"Fort Wayne Pistons",69,"Minneapolis Lakers",89,"",NA,""
"195112010ROC",1951-12-01,"Milwaukee Hawks",66,"Rochester Royals",71,"",NA,""
"195112020BOS",1951-12-02,"Baltimore Bullets",82,"Boston Celtics",103,"",NA,""
"195112020FTW",1951-12-02,"Minneapolis Lakers",61,"Fort Wayne Pistons",63,"",NA,""
"195112020MLH",1951-12-02,"Indianapolis Olympians",80,"Milwaukee Hawks",71,"",NA,""
"195112020NYK",1951-12-02,"Philadelphia Warriors",72,"New York Knicks",86,"",NA,""
"195112020SYR",1951-12-02,"Rochester Royals",81,"Syracuse Nationals",79,"",NA,""
"195112030BLB",1951-12-03,"Rochester Royals",77,"Baltimore Bullets",70,"",NA,""
"195112040INO",1951-12-04,"Syracuse Nationals",77,"Indianapolis Olympians",83,"",NA,""
"195112040PHW",1951-12-04,"Rochester Royals",80,"Philadelphia Warriors",96,"",NA,""
"195112050BOS",1951-12-05,"Fort Wayne Pistons",91,"Boston Celtics",88,"",NA,""
"195112050MNL",1951-12-05,"Syracuse Nationals",83,"Minneapolis Lakers",81,"OT",NA,""
"195112060MLH",1951-12-06,"Syracuse Nationals",70,"Milwaukee Hawks",73,"",NA,"at Moline, IL"
"195112070INO",1951-12-07,"Baltimore Bullets",80,"Indianapolis Olympians",88,"",NA,""
"195112070PHW",1951-12-07,"New York Knicks",91,"Philadelphia Warriors",93,"",NA,""
"195112080BLB",1951-12-08,"Minneapolis Lakers",85,"Baltimore Bullets",64,"",NA,"at Saint Paul, MN"
"195112080MLH",1951-12-08,"Fort Wayne Pistons",71,"Milwaukee Hawks",82,"",NA,""
"195112080ROC",1951-12-08,"Syracuse Nationals",95,"Rochester Royals",75,"",NA,""
"195112090BOS",1951-12-09,"New York Knicks",94,"Boston Celtics",103,"",NA,""
"195112090FTW",1951-12-09,"Rochester Royals",84,"Fort Wayne Pistons",86,"",NA,""
"195112090MLH",1951-12-09,"Baltimore Bullets",73,"Milwaukee Hawks",71,"",NA,""
"195112090MNL",1951-12-09,"Indianapolis Olympians",85,"Minneapolis Lakers",78,"",NA,""
"195112090SYR",1951-12-09,"Philadelphia Warriors",74,"Syracuse Nationals",93,"",NA,""
"195112110FTW",1951-12-11,"Syracuse Nationals",80,"Fort Wayne Pistons",62,"",NA,"at New York, NY"
"195112110INO",1951-12-11,"Minneapolis Lakers",69,"Indianapolis Olympians",85,"",NA,""
"195112110NYK",1951-12-11,"Milwaukee Hawks",83,"New York Knicks",88,"",NA,""
"195112110PHW",1951-12-11,"Boston Celtics",78,"Philadelphia Warriors",79,"",NA,""
"195112120BOS",1951-12-12,"Milwaukee Hawks",84,"Boston Celtics",89,"",NA,""
"195112120MNL",1951-12-12,"Baltimore Bullets",79,"Minneapolis Lakers",99,"",NA,""
"195112130SYR",1951-12-13,"Milwaukee Hawks",82,"Syracuse Nationals",89,"",NA,""
"195112140INO",1951-12-14,"New York Knicks",79,"Indianapolis Olympians",83,"",NA,""
"195112140PHW",1951-12-14,"Fort Wayne Pistons",62,"Philadelphia Warriors",72,"",NA,""
"195112150BLB",1951-12-15,"Fort Wayne Pistons",80,"Baltimore Bullets",90,"",NA,""
"195112150ROC",1951-12-15,"Indianapolis Olympians",66,"Rochester Royals",75,"",NA,""
"195112160BOS",1951-12-16,"Philadelphia Warriors",90,"Boston Celtics",92,"OT",NA,""
"195112160FTW",1951-12-16,"New York Knicks",80,"Fort Wayne Pistons",71,"",NA,""
"195112160MNL",1951-12-16,"Milwaukee Hawks",52,"Minneapolis Lakers",99,"",NA,""
"195112160ROC",1951-12-16,"Baltimore Bullets",95,"Rochester Royals",99,"",NA,""
"195112160SYR",1951-12-16,"Indianapolis Olympians",96,"Syracuse Nationals",92,"",NA,""
"195112170BLB",1951-12-17,"Boston Celtics",80,"Baltimore Bullets",92,"",NA,""
"195112180BLB",1951-12-18,"Philadelphia Warriors",82,"Baltimore Bullets",78,"",NA,"at New York, NY"
"195112180MLH",1951-12-18,"Rochester Royals",94,"Milwaukee Hawks",68,"",NA,""
"195112180NYK",1951-12-18,"Minneapolis Lakers",67,"New York Knicks",69,"",NA,""
"195112190BOS",1951-12-19,"Syracuse Nationals",97,"Boston Celtics",103,"",NA,""
"195112200FTW",1951-12-20,"Rochester Royals",69,"Fort Wayne Pistons",54,"",NA,""
"195112210BLB",1951-12-21,"Boston Celtics",106,"Baltimore Bullets",89,"",NA,"at Providence, RI"
"195112210INO",1951-12-21,"Milwaukee Hawks",64,"Indianapolis Olympians",69,"",NA,""
"195112210PHW",1951-12-21,"Minneapolis Lakers",103,"Philadelphia Warriors",105,"3OT",NA,""
"195112220BLB",1951-12-22,"Minneapolis Lakers",96,"Baltimore Bullets",90,"3OT",NA,""
"195112220NYK",1951-12-22,"Syracuse Nationals",73,"New York Knicks",92,"",NA,""
"195112220ROC",1951-12-22,"Philadelphia Warriors",89,"Rochester Royals",105,"",NA,""
"195112230BOS",1951-12-23,"Indianapolis Olympians",88,"Boston Celtics",91,"OT",NA,""
"195112230FTW",1951-12-23,"Minneapolis Lakers",79,"Fort Wayne Pistons",81,"",NA,""
"195112230SYR",1951-12-23,"New York Knicks",75,"Syracuse Nationals",72,"",NA,""
"195112250MLH",1951-12-25,"Syracuse Nationals",70,"Milwaukee Hawks",65,"",NA,"at New York, NY"
"195112250MNL",1951-12-25,"Boston Celtics",93,"Minneapolis Lakers",100,"",NA,""
"195112250NYK",1951-12-25,"Fort Wayne Pistons",65,"New York Knicks",72,"",NA,""
"195112250ROC",1951-12-25,"Indianapolis Olympians",78,"Rochester Royals",87,"",NA,""
"195112260BLB",1951-12-26,"Philadelphia Warriors",99,"Baltimore Bullets",103,"3OT",NA,""
"195112260FTW",1951-12-26,"Boston Celtics",86,"Fort Wayne Pistons",94,"",NA,""
"195112260MLH",1951-12-26,"New York Knicks",76,"Milwaukee Hawks",78,"",NA,"at Baltimore, MD"
"195112270ROC",1951-12-27,"New York Knicks",85,"Rochester Royals",98,"",NA,""
"195112270SYR",1951-12-27,"Milwaukee Hawks",69,"Syracuse Nationals",68,"",NA,""
"195112290BLB",1951-12-29,"Indianapolis Olympians",65,"Baltimore Bullets",75,"",NA,""
"195112290MLH",1951-12-29,"Philadelphia Warriors",68,"Milwaukee Hawks",61,"",NA,""
"195112290ROC",1951-12-29,"Fort Wayne Pistons",61,"Rochester Royals",75,"",NA,""
"195112300BOS",1951-12-30,"New York Knicks",90,"Boston Celtics",100,"",NA,""
