"game_id","date_game","visitor_team_name","visitor_pts","home_team_name","home_pts","overtimes","attendance","game_remarks"
"196110190LAL",1961-10-19,"Philadelphia Warriors",113,"Los Angeles Lakers",118,"",NA,"at New York, NY"
"196110190NYK",1961-10-19,"Chicago Packers",103,"New York Knicks",120,"",NA,""
"196110200PHW",1961-10-20,"Los Angeles Lakers",115,"Philadelphia Warriors",122,"",NA,""
"196110210BOS",1961-10-21,"Detroit Pistons",102,"Boston Celtics",137,"",NA,""
"196110210PHW",1961-10-21,"New York Knicks",95,"Philadelphia Warriors",132,"",NA,""
"196110210STL",1961-10-21,"Cincinnati Royals",138,"St. Louis Hawks",129,"",NA,""
"196110210SYR",1961-10-21,"Chicago Packers",103,"Syracuse Nationals",123,"",NA,""
"196110240CIN",1961-10-24,"Los Angeles Lakers",124,"Cincinnati Royals",122,"",NA,"at New York, NY"
"196110240NYK",1961-10-24,"St. Louis Hawks",110,"New York Knicks",112,"",NA,""
"196110250DET",1961-10-25,"Los Angeles Lakers",120,"Detroit Pistons",116,"",NA,""
"196110260NYK",1961-10-26,"Cincinnati Royals",117,"New York Knicks",120,"",NA,""
"196110260STL",1961-10-26,"Syracuse Nationals",107,"St. Louis Hawks",110,"",NA,"at New York, NY"
"196110270CHP",1961-10-27,"St. Louis Hawks",106,"Chicago Packers",117,"",NA,""
"196110270LAL",1961-10-27,"Detroit Pistons",118,"Los Angeles Lakers",128,"",NA,""
"196110270PHW",1961-10-27,"Syracuse Nationals",126,"Philadelphia Warriors",122,"",NA,""
"196110280BOS",1961-10-28,"New York Knicks",102,"Boston Celtics",132,"",NA,""
"196110280LAL",1961-10-28,"Detroit Pistons",126,"Los Angeles Lakers",135,"",NA,""
"196110280STL",1961-10-28,"Chicago Packers",95,"St. Louis Hawks",122,"",NA,""
"196110280SYR",1961-10-28,"Philadelphia Warriors",119,"Syracuse Nationals",115,"",NA,""
"196110290CIN",1961-10-29,"Syracuse Nationals",132,"Cincinnati Royals",139,"",NA,""
"196110310CIN",1961-10-31,"New York Knicks",131,"Cincinnati Royals",127,"",NA,"at St. Louis, MO"
"196110310STL",1961-10-31,"Syracuse Nationals",107,"St. Louis Hawks",90,"",NA,""
"196111010DET",1961-11-01,"New York Knicks",95,"Detroit Pistons",111,"",NA,""
"196111010LAL",1961-11-01,"Cincinnati Royals",115,"Los Angeles Lakers",120,"",NA,""
"196111030CHP",1961-11-03,"New York Knicks",118,"Chicago Packers",129,"",NA,""
"196111030LAL",1961-11-03,"Cincinnati Royals",132,"Los Angeles Lakers",114,"",NA,""
"196111030PHW",1961-11-03,"Boston Celtics",112,"Philadelphia Warriors",98,"",NA,""
"196111030SYR",1961-11-03,"St. Louis Hawks",106,"Syracuse Nationals",94,"",NA,""
"196111040BOS",1961-11-04,"Syracuse Nationals",107,"Boston Celtics",127,"",NA,""
"196111040CHP",1961-11-04,"Los Angeles Lakers",125,"Chicago Packers",112,"",NA,""
"196111040PHW",1961-11-04,"Detroit Pistons",132,"Philadelphia Warriors",135,"",NA,""
"196111040STL",1961-11-04,"New York Knicks",111,"St. Louis Hawks",112,"",NA,""
"196111070CIN",1961-11-07,"New York Knicks",98,"Cincinnati Royals",123,"",NA,""
"196111070STL",1961-11-07,"Los Angeles Lakers",127,"St. Louis Hawks",110,"",NA,""
"196111080CHP",1961-11-08,"New York Knicks",130,"Chicago Packers",108,"",NA,"at Detroit, MI"
"196111080DET",1961-11-08,"Philadelphia Warriors",132,"Detroit Pistons",128,"",NA,""
"196111080LAL",1961-11-08,"St. Louis Hawks",118,"Los Angeles Lakers",124,"",NA,""
"196111090BOS",1961-11-09,"Detroit Pistons",116,"Boston Celtics",110,"",NA,"at Philadelphia, PA"
"196111090PHW",1961-11-09,"Syracuse Nationals",108,"Philadelphia Warriors",151,"",NA,""
"196111100CIN",1961-11-10,"Chicago Packers",117,"Cincinnati Royals",122,"",NA,""
"196111100NYK",1961-11-10,"Detroit Pistons",124,"New York Knicks",118,"",NA,""
"196111110BOS",1961-11-11,"Philadelphia Warriors",125,"Boston Celtics",128,"",NA,""
"196111110CHP",1961-11-11,"Cincinnati Royals",117,"Chicago Packers",107,"",NA,""
"196111110STL",1961-11-11,"Detroit Pistons",119,"St. Louis Hawks",132,"",NA,""
"196111110SYR",1961-11-11,"New York Knicks",109,"Syracuse Nationals",135,"",NA,""
"196111120CHP",1961-11-12,"Boston Celtics",112,"Chicago Packers",96,"",NA,""
"196111120CIN",1961-11-12,"St. Louis Hawks",126,"Cincinnati Royals",136,"",NA,""
"196111130LAL",1961-11-13,"Chicago Packers",113,"Los Angeles Lakers",127,"",NA,""
"196111140CIN",1961-11-14,"Syracuse Nationals",115,"Cincinnati Royals",119,"",NA,"at New York, NY"
"196111140NYK",1961-11-14,"Philadelphia Warriors",122,"New York Knicks",124,"",NA,""
"196111140STL",1961-11-14,"Boston Celtics",119,"St. Louis Hawks",117,"",NA,""
"196111150DET",1961-11-15,"St. Louis Hawks",122,"Detroit Pistons",127,"",NA,""
"196111150LAL",1961-11-15,"Chicago Packers",118,"Los Angeles Lakers",133,"",NA,""
"196111150NYK",1961-11-15,"Syracuse Nationals",114,"New York Knicks",102,"",NA,"at Philadelphia, PA"
"196111150PHW",1961-11-15,"Cincinnati Royals",133,"Philadelphia Warriors",145,"",NA,""
"196111160CIN",1961-11-16,"Boston Celtics",127,"Cincinnati Royals",121,"",NA,""
"196111170NYK",1961-11-17,"Boston Celtics",104,"New York Knicks",100,"",NA,""
"196111170PHW",1961-11-17,"Los Angeles Lakers",125,"Philadelphia Warriors",121,"",NA,""
